"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 04 09:13:51 GMT 2023","Mon Sep 04 09:15:26 GMT 2023","95266","","Book detail view screen","","Get: Sign in: Library card: Check of less than minimum allowed or more than maximum characters","","Get: Sign in: Library card: Check of less than minimum allowed or more than maximum characters",""
"passed","Mon Sep 04 08:18:22 GMT 2023","Mon Sep 04 08:30:53 GMT 2023","751062","","Audiobooks in A1QA library","","Audiobooks: Check time tracking line","","Audiobooks: Check time tracking line",""
"passed","Mon Sep 04 07:58:54 GMT 2023","Mon Sep 04 08:01:16 GMT 2023","142164","","Book detail view screen","","Check of a ""More..."" button in Description section in LYRASIS","","Check of a ""More..."" button in Description section in LYRASIS",""
"failed","Mon Sep 04 07:52:47 GMT 2023","Mon Sep 04 08:03:24 GMT 2023","636392","","Distributors","","Overdrive: Getting and returning a book from Book Detail View","","Overdrive: Getting and returning a book from Book Detail View",""
"broken","Mon Sep 04 09:08:19 GMT 2023","Mon Sep 04 09:10:09 GMT 2023","110265","","Book detail view screen","","Get: Sign in: Check of loging in with leaving the Password field empty","","Get: Sign in: Check of loging in with leaving the Password field empty",""
"passed","Mon Sep 04 09:34:18 GMT 2023","Mon Sep 04 09:35:35 GMT 2023","76572","","Manage Libraries","","Navigate by Tutorial","","Navigate by Tutorial",""
"passed","Mon Sep 04 09:12:10 GMT 2023","Mon Sep 04 09:13:51 GMT 2023","100683","","Book detail view screen","","Get: Sign in: Library card: Check of less than minimum allowed or more than maximum characters","","Get: Sign in: Library card: Check of less than minimum allowed or more than maximum characters",""
"passed","Mon Sep 04 07:24:05 GMT 2023","Mon Sep 04 07:26:23 GMT 2023","137136","","Books transactions in Palace Bookshelf","","Get a book from Book Detail View and Return from Books (ANDROID)","","Get a book from Book Detail View and Return from Books (ANDROID)",""
"passed","Mon Sep 04 07:49:01 GMT 2023","Mon Sep 04 07:50:49 GMT 2023","108694","","Catalog Navigation","","Check of books availability in LYRASIS","","Check of books availability in LYRASIS",""
"passed","Mon Sep 04 07:26:23 GMT 2023","Mon Sep 04 07:27:59 GMT 2023","96169","","Books transactions in Palace Bookshelf","","Get a book from Book Detail View and Return from Book Detail View (ANDROID)","","Get a book from Book Detail View and Return from Book Detail View (ANDROID)",""
"passed","Mon Sep 04 08:25:39 GMT 2023","Mon Sep 04 08:27:37 GMT 2023","118210","","Book detail view screen","","Check related books section in LYRASIS","","Check related books section in LYRASIS",""
"passed","Mon Sep 04 08:27:37 GMT 2023","Mon Sep 04 08:29:48 GMT 2023","131380","","Book detail view screen","","Check related books section in LYRASIS","","Check related books section in LYRASIS",""
