"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 02 07:46:33 GMT 2023","Sat Sep 02 07:48:29 GMT 2023","116383","","Book detail view screen","","Check of a ""More..."" button in Description section in LYRASIS","","Check of a ""More..."" button in Description section in LYRASIS",""
"passed","Sat Sep 02 09:41:48 GMT 2023","Sat Sep 02 09:42:50 GMT 2023","62075","","Search libraries and books","","Find a book with name in different font cases in Palace","","Find a book with name in different font cases in Palace",""
"passed","Sat Sep 02 09:45:48 GMT 2023","Sat Sep 02 09:46:47 GMT 2023","59220","","Search libraries and books","","Enter invalid data in book name in Palace","","Enter invalid data in book name in Palace",""
"broken","Sat Sep 02 08:56:40 GMT 2023","Sat Sep 02 09:08:00 GMT 2023","680188","","Audiobooks in A1QA library","","Audiobooks: Playback speed: Check of playback speed","","Audiobooks: Playback speed: Check of playback speed",""
"failed","Sat Sep 02 09:10:42 GMT 2023","Sat Sep 02 09:20:53 GMT 2023","610516","","Read EPUB from Overdrive in A1QA","","Epub: Navigate by bookmarks","","Epub: Navigate by bookmarks",""
"passed","Sat Sep 02 07:22:54 GMT 2023","Sat Sep 02 07:24:43 GMT 2023","109131","","Book detail view screen","","Check of a book title and author in LYRASIS","","Check of a book title and author in LYRASIS",""
"broken","Sat Sep 02 08:24:08 GMT 2023","Sat Sep 02 08:35:25 GMT 2023","677200","","Audiobooks in A1QA library","","Audiobooks: Playback speed: Check of playback speed","","Audiobooks: Playback speed: Check of playback speed",""
"passed","Sat Sep 02 07:28:14 GMT 2023","Sat Sep 02 07:29:50 GMT 2023","96157","","Books transactions in Palace Bookshelf","","Get a book from Book Detail View and Read from Book Detail View (ANDROID)","","Get a book from Book Detail View and Read from Book Detail View (ANDROID)",""
"passed","Sat Sep 02 08:46:15 GMT 2023","Sat Sep 02 08:48:53 GMT 2023","158400","","Book detail view screen","","Check related books section in Overdrive","","Check related books section in Overdrive",""
"passed","Sat Sep 02 08:24:22 GMT 2023","Sat Sep 02 08:26:18 GMT 2023","115865","","Book detail view screen","","Check related books section in LYRASIS","","Check related books section in LYRASIS",""
"failed","Sat Sep 02 07:44:00 GMT 2023","Sat Sep 02 07:46:01 GMT 2023","121840","","Catalog Navigation","","Check of books sorting in LYRASIS","","Check of books sorting in LYRASIS",""
"passed","Sat Sep 02 09:29:11 GMT 2023","Sat Sep 02 09:29:54 GMT 2023","43169","","Search libraries and books","","Check that library name contains one or more entered latin letters","","Check that library name contains one or more entered latin letters",""
"passed","Sat Sep 02 10:04:12 GMT 2023","Sat Sep 02 10:05:12 GMT 2023","59995","","Search libraries and books","","Enter invalid data in book name in LYRASIS","","Enter invalid data in book name in LYRASIS",""
"passed","Sat Sep 02 09:42:50 GMT 2023","Sat Sep 02 09:43:49 GMT 2023","59107","","Search libraries and books","","Enter invalid data in book name in Palace","","Enter invalid data in book name in Palace",""
"passed","Sat Sep 02 07:17:12 GMT 2023","Sat Sep 02 07:30:43 GMT 2023","811949","","Audiobooks in A1QA library","","Audiobooks: Open the audiobook at the last open chapter and check time code","","Audiobooks: Open the audiobook at the last open chapter and check time code",""
"passed","Sat Sep 02 08:14:49 GMT 2023","Sat Sep 02 08:16:45 GMT 2023","115706","","Book detail view screen","","Biblioboard audiobook: Check fields in Information section in LYRASIS","","Biblioboard audiobook: Check fields in Information section in LYRASIS",""
"passed","Sat Sep 02 09:50:49 GMT 2023","Sat Sep 02 09:51:51 GMT 2023","61207","","Search libraries and books","","Check of displaying the search field after search a book in LYRASIS","","Check of displaying the search field after search a book in LYRASIS",""
"passed","Sat Sep 02 08:03:21 GMT 2023","Sat Sep 02 08:05:21 GMT 2023","119822","","Book detail view screen","","Check fields in Information section in LYRASIS","","Check fields in Information section in LYRASIS",""
"passed","Sat Sep 02 09:35:33 GMT 2023","Sat Sep 02 09:36:34 GMT 2023","60956","","Search libraries and books","","Find a book in Palace","","Find a book in Palace",""
"passed","Sat Sep 02 07:54:19 GMT 2023","Sat Sep 02 07:56:16 GMT 2023","117862","","Book detail view screen","","Check of a ""More..."" button in Description section in LYRASIS","","Check of a ""More..."" button in Description section in LYRASIS",""
"passed","Sat Sep 02 09:54:55 GMT 2023","Sat Sep 02 09:55:59 GMT 2023","63910","","Search libraries and books","","Check that books from search result contain one or more entered latin letters or numeric in LYRASIS","","Check that books from search result contain one or more entered latin letters or numeric in LYRASIS",""
"broken","Sat Sep 02 08:30:59 GMT 2023","Sat Sep 02 08:36:49 GMT 2023","350338","","Read EPUB from Overdrive in A1QA","","Epub: Font settings: Check of font style","","Epub: Font settings: Check of font style",""
"passed","Sat Sep 02 09:18:40 GMT 2023","Sat Sep 02 09:20:35 GMT 2023","114922","","My books module","","Check of sorting in Palace","","Check of sorting in Palace",""
"failed","Sat Sep 02 09:15:03 GMT 2023","Sat Sep 02 09:16:23 GMT 2023","79799","","Manage Libraries","","Settings: Libraries: Remove library","","Settings: Libraries: Remove library",""
"passed","Sat Sep 02 07:49:55 GMT 2023","Sat Sep 02 07:51:49 GMT 2023","114080","","Catalog Navigation","","Check all types of availability","","Check all types of availability",""
"broken","Sat Sep 02 09:24:31 GMT 2023","Sat Sep 02 09:26:30 GMT 2023","119273","","Read PDF in Palace Bookshelf on Android","","TOC: Contents with thumbnails: Check of Contents list and navigation Palace","","TOC: Contents with thumbnails: Check of Contents list and navigation Palace",""
"passed","Sat Sep 02 07:44:26 GMT 2023","Sat Sep 02 07:55:57 GMT 2023","690640","","Audiobooks in A1QA library","","Audiobooks: Check of switching to the next chapter","","Audiobooks: Check of switching to the next chapter",""
"passed","Sat Sep 02 07:39:22 GMT 2023","Sat Sep 02 07:41:18 GMT 2023","115908","","Book detail view screen","","Check of a book format in LYRASIS","","Check of a book format in LYRASIS",""
"broken","Sat Sep 02 08:46:05 GMT 2023","Sat Sep 02 08:56:40 GMT 2023","635016","","Audiobooks in A1QA library","","Audiobooks: Playback speed: Check of playback speed","","Audiobooks: Playback speed: Check of playback speed",""
"failed","Sat Sep 02 09:05:43 GMT 2023","Sat Sep 02 09:07:27 GMT 2023","104101","","Read EPUB in Palace Bookshelf","","Delete bookmarks","","Delete bookmarks",""
"passed","Sat Sep 02 09:52:52 GMT 2023","Sat Sep 02 09:53:51 GMT 2023","59446","","Search libraries and books","","Delete a book from search bar in LYRASIS","","Delete a book from search bar in LYRASIS",""
"passed","Sat Sep 02 08:38:22 GMT 2023","Sat Sep 02 08:40:53 GMT 2023","150711","","Book detail view screen","","Check of a book title and author in Overdrive","","Check of a book title and author in Overdrive",""
"passed","Sat Sep 02 09:01:57 GMT 2023","Sat Sep 02 09:03:41 GMT 2023","104213","","Read EPUB in Palace Bookshelf","","Navigate by Page","","Navigate by Page",""
"passed","Sat Sep 02 09:51:51 GMT 2023","Sat Sep 02 09:52:52 GMT 2023","61155","","Search libraries and books","","Find a book in LYRASIS","","Find a book in LYRASIS",""
"broken","Sat Sep 02 09:16:23 GMT 2023","Sat Sep 02 09:19:01 GMT 2023","158469","","Manage Libraries","","Switch library bookshelf (ANDROID)","","Switch library bookshelf (ANDROID)",""
"passed","Sat Sep 02 09:31:40 GMT 2023","Sat Sep 02 09:32:16 GMT 2023","35354","","Search libraries and books","","Enter invalid data","","Enter invalid data",""
"passed","Sat Sep 02 09:15:40 GMT 2023","Sat Sep 02 09:16:45 GMT 2023","64687","","Menu Bar","","Check of the tabs in LYRASIS","","Check of the tabs in LYRASIS",""
