"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 27 01:41:48 GMT 2023","Fri Jan 27 01:45:06 GMT 2023","198250","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"passed","Fri Jan 27 00:41:22 GMT 2023","Fri Jan 27 00:44:16 GMT 2023","173791","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"broken","Fri Jan 27 00:37:27 GMT 2023","Fri Jan 27 00:41:22 GMT 2023","235098","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"passed","Fri Jan 27 03:03:54 GMT 2023","Fri Jan 27 03:07:55 GMT 2023","241169","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Fri Jan 27 01:31:11 GMT 2023","Fri Jan 27 01:34:29 GMT 2023","198080","","Reservation of book in LYRASIS","","Hold from Subcategory List View and Remove a Reserved Book from Holds","","Hold from Subcategory List View and Remove a Reserved Book from Holds",""
"passed","Fri Jan 27 01:21:14 GMT 2023","Fri Jan 27 01:24:57 GMT 2023","222527","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"passed","Fri Jan 27 00:42:21 GMT 2023","Fri Jan 27 00:43:55 GMT 2023","93708","","Manage Libraries","","Store library card","","Store library card",""
"passed","Fri Jan 27 00:37:27 GMT 2023","Fri Jan 27 00:42:06 GMT 2023","279005","","Read EPUB in Lyrasis","","Font settings: Check of increasing and reducing the text size","","Font settings: Check of increasing and reducing the text size",""
"passed","Fri Jan 27 00:59:28 GMT 2023","Fri Jan 27 01:02:39 GMT 2023","191529","","Audiobook in Lyrasis","","Navigate by Audiobook","","Navigate by Audiobook",""
"passed","Fri Jan 27 01:13:35 GMT 2023","Fri Jan 27 01:17:21 GMT 2023","225887","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"passed","Fri Jan 27 02:48:31 GMT 2023","Fri Jan 27 02:52:19 GMT 2023","228639","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Fri Jan 27 02:52:19 GMT 2023","Fri Jan 27 02:56:06 GMT 2023","227065","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Fri Jan 27 01:36:42 GMT 2023","Fri Jan 27 01:40:20 GMT 2023","218211","","Read EPUB in Lyrasis","","Navigate by bookmarks","","Navigate by bookmarks",""
"passed","Fri Jan 27 01:34:09 GMT 2023","Fri Jan 27 01:41:24 GMT 2023","435845","","Audiobook in Lyrasis","","Check of switching to the next time","","Check of switching to the next time",""
"passed","Fri Jan 27 00:43:55 GMT 2023","Fri Jan 27 00:47:37 GMT 2023","221729","","My books module","","Get a book from Book Detail View and Return from Books in LYRASIS","","Get a book from Book Detail View and Return from Books in LYRASIS",""
"passed","Fri Jan 27 02:56:07 GMT 2023","Fri Jan 27 02:59:58 GMT 2023","231227","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Fri Jan 27 01:22:50 GMT 2023","Fri Jan 27 01:30:41 GMT 2023","471779","","Audiobook in Lyrasis","","Check of switching to the next time","","Check of switching to the next time",""
"passed","Fri Jan 27 01:17:08 GMT 2023","Fri Jan 27 01:20:30 GMT 2023","201547","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"passed","Fri Jan 27 02:59:58 GMT 2023","Fri Jan 27 03:03:53 GMT 2023","235735","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Fri Jan 27 00:47:13 GMT 2023","Fri Jan 27 00:49:58 GMT 2023","164241","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"passed","Fri Jan 27 01:14:04 GMT 2023","Fri Jan 27 01:17:08 GMT 2023","183581","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Fri Jan 27 01:34:29 GMT 2023","Fri Jan 27 01:36:42 GMT 2023","132446","","Reservation of book in LYRASIS","","Hold from Subcategory List View and Remove a Reserved Book from Subcategory List View","","Hold from Subcategory List View and Remove a Reserved Book from Subcategory List View",""
"failed","Fri Jan 27 01:25:45 GMT 2023","Fri Jan 27 01:28:29 GMT 2023","163989","","Read PDF in LYRASIS Reads on Android","","Settings: Check of Horizontal scrolling in Lyrasis","","Settings: Check of Horizontal scrolling in Lyrasis",""
"failed","Fri Jan 27 01:05:52 GMT 2023","Fri Jan 27 01:09:08 GMT 2023","196739","","Audiobook in Lyrasis","","Check end of chapter sleep timer","","Check end of chapter sleep timer",""
"passed","Fri Jan 27 01:13:52 GMT 2023","Fri Jan 27 01:16:36 GMT 2023","163992","","Read PDF in LYRASIS Reads on Android","","TOC: Contents with thumbnails: Check of Contents list and navigation in Lyrasis","","TOC: Contents with thumbnails: Check of Contents list and navigation in Lyrasis",""
