"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 17 18:21:47 GMT 2023","Sat Jun 17 18:25:55 GMT 2023","247430","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"failed","Sat Jun 17 21:51:30 GMT 2023","Sat Jun 17 21:57:07 GMT 2023","337026","","Audiobook in LYRASIS","","Biblioboard: Playback speed: Check of playback speed","","Biblioboard: Playback speed: Check of playback speed",""
"failed","Sat Jun 17 18:14:18 GMT 2023","Sat Jun 17 18:22:01 GMT 2023","463195","","Audiobook in LYRASIS","","Open the audiobook at the last open chapter and check time code","","Open the audiobook at the last open chapter and check time code",""
"failed","Sat Jun 17 21:03:33 GMT 2023","Sat Jun 17 21:08:43 GMT 2023","310523","","Read PDF in LYRASIS Reads on Android","","Settings: Check of Horizontal scrolling in Lyrasis","","Settings: Check of Horizontal scrolling in Lyrasis",""
"broken","Sat Jun 17 18:23:57 GMT 2023","Sat Jun 17 18:29:19 GMT 2023","321567","","Audiobooks from Audible studios in LYRASIS","","Check end of chapter sleep timer","","Check end of chapter sleep timer",""
"broken","Sat Jun 17 18:29:19 GMT 2023","Sat Jun 17 18:34:37 GMT 2023","318362","","Audiobooks from Audible studios in LYRASIS","","Check of switching to the next time","","Check of switching to the next time",""
"passed","Sat Jun 17 20:22:36 GMT 2023","Sat Jun 17 20:27:45 GMT 2023","308779","","Read EPUB in Lyrasis","","Navigate by bookmarks","","Navigate by bookmarks",""
"broken","Sat Jun 17 18:29:34 GMT 2023","Sat Jun 17 18:33:12 GMT 2023","217722","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"passed","Sat Jun 17 19:52:00 GMT 2023","Sat Jun 17 19:58:13 GMT 2023","372897","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"failed","Sat Jun 17 19:58:11 GMT 2023","Sat Jun 17 20:04:46 GMT 2023","394730","","Manage Libraries","","Switch Library Reservations","","Switch Library Reservations",""
"broken","Sat Jun 17 19:01:54 GMT 2023","Sat Jun 17 19:06:41 GMT 2023","287230","","Audiobooks from Audible studios in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Sat Jun 17 18:25:55 GMT 2023","Sat Jun 17 18:29:34 GMT 2023","219282","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"passed","Sat Jun 17 20:36:59 GMT 2023","Sat Jun 17 20:41:56 GMT 2023","297623","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"passed","Sat Jun 17 18:55:31 GMT 2023","Sat Jun 17 19:01:03 GMT 2023","332013","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"failed","Sat Jun 17 19:54:15 GMT 2023","Sat Jun 17 19:58:11 GMT 2023","236101","","Distributors","","LYRASIS: Biblioboard audiobooks: Check of canceling the downloading from book details view","","LYRASIS: Biblioboard audiobooks: Check of canceling the downloading from book details view",""
"failed","Sat Jun 17 21:38:59 GMT 2023","Sat Jun 17 21:45:51 GMT 2023","411437","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Sat Jun 17 19:28:57 GMT 2023","Sat Jun 17 19:33:52 GMT 2023","295505","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"passed","Sat Jun 17 18:36:45 GMT 2023","Sat Jun 17 18:42:07 GMT 2023","321038","","Audiobook in LYRASIS","","Biblioboard: Open the audiobook at the last open chapter and check time code","","Biblioboard: Open the audiobook at the last open chapter and check time code",""
"broken","Sat Jun 17 18:52:31 GMT 2023","Sat Jun 17 18:55:31 GMT 2023","180645","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"passed","Sat Jun 17 20:53:09 GMT 2023","Sat Jun 17 20:58:53 GMT 2023","344348","","Audiobook in LYRASIS","","Bibliotheca: Check of not rewinding forward and back by tapping on time bar","","Bibliotheca: Check of not rewinding forward and back by tapping on time bar",""
"broken","Sat Jun 17 19:33:52 GMT 2023","Sat Jun 17 19:38:06 GMT 2023","254382","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"passed","Sat Jun 17 20:42:44 GMT 2023","Sat Jun 17 20:47:50 GMT 2023","305221","","Audiobook in LYRASIS","","Check of not rewinding forward and back by tapping on time bar","","Check of not rewinding forward and back by tapping on time bar",""
"broken","Sat Jun 17 19:06:41 GMT 2023","Sat Jun 17 19:11:30 GMT 2023","289606","","Audiobooks from Audible studios in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Sat Jun 17 19:52:11 GMT 2023","Sat Jun 17 19:58:11 GMT 2023","359313","","Audiobook in LYRASIS","","Biblioboard: Check of switching to the next time","","Biblioboard: Check of switching to the next time",""
"passed","Sat Jun 17 21:57:07 GMT 2023","Sat Jun 17 22:02:44 GMT 2023","336695","","Audiobook in LYRASIS","","Biblioboard: Playback speed: Check of playback speed","","Biblioboard: Playback speed: Check of playback speed",""
"failed","Sat Jun 17 22:26:16 GMT 2023","Sat Jun 17 22:32:25 GMT 2023","369104","","Audiobook in LYRASIS","","Bibliotheca: Playback speed: Check of playback speed","","Bibliotheca: Playback speed: Check of playback speed",""
"broken","Sat Jun 17 19:42:04 GMT 2023","Sat Jun 17 19:42:51 GMT 2023","46929","","Read EPUB in Lyrasis","","Font settings: Check of text theme","","Font settings: Check of text theme",""
