"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 01 18:15:15 GMT 2023","Fri Sep 01 18:24:36 GMT 2023","561397","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"passed","Fri Sep 01 19:52:20 GMT 2023","Fri Sep 01 19:54:40 GMT 2023","139454","","Manage Libraries","","Store library card","","Store library card",""
"broken","Fri Sep 01 17:14:04 GMT 2023","Fri Sep 01 17:20:49 GMT 2023","405129","","Audiobook in LYRASIS","","Check of switching to the next time","","Check of switching to the next time",""
"passed","Fri Sep 01 18:01:10 GMT 2023","Fri Sep 01 18:15:15 GMT 2023","844559","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Fri Sep 01 16:57:52 GMT 2023","Fri Sep 01 17:07:16 GMT 2023","563656","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"passed","Fri Sep 01 18:24:36 GMT 2023","Fri Sep 01 18:37:51 GMT 2023","795132","","Distributors","","LYRASIS: Biblioboard audiobooks: Getting and returning books from Book Detail View","","LYRASIS: Biblioboard audiobooks: Getting and returning books from Book Detail View",""
"broken","Fri Sep 01 17:19:28 GMT 2023","Fri Sep 01 17:30:46 GMT 2023","677583","","Audiobooks from Audible studios in LYRASIS","","Check of not rewinding forward and back by tapping on time bar","","Check of not rewinding forward and back by tapping on time bar",""
"failed","Fri Sep 01 19:10:52 GMT 2023","Fri Sep 01 19:19:59 GMT 2023","547169","","Read EPUB in Lyrasis","","Font settings: Check of text theme","","Font settings: Check of text theme",""
"failed","Fri Sep 01 15:51:05 GMT 2023","Fri Sep 01 16:06:38 GMT 2023","932037","","Audiobooks from Audible studios in LYRASIS","","Open the audiobook at the last open chapter and check time code","","Open the audiobook at the last open chapter and check time code",""
"passed","Fri Sep 01 19:16:46 GMT 2023","Fri Sep 01 19:26:28 GMT 2023","581634","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Fri Sep 01 19:54:49 GMT 2023","Fri Sep 01 20:05:35 GMT 2023","645453","","Read EPUB in Lyrasis","","Navigate by Page","","Navigate by Page",""
"passed","Fri Sep 01 16:52:11 GMT 2023","Fri Sep 01 17:03:09 GMT 2023","658039","","Audiobook in LYRASIS","","Check of line for time remaining","","Check of line for time remaining",""
"broken","Fri Sep 01 20:53:38 GMT 2023","Fri Sep 01 21:06:55 GMT 2023","796568","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Fri Sep 01 16:41:32 GMT 2023","Fri Sep 01 16:52:11 GMT 2023","638559","","Audiobook in LYRASIS","","Check of line for time remaining","","Check of line for time remaining",""
"passed","Fri Sep 01 19:02:44 GMT 2023","Fri Sep 01 19:07:43 GMT 2023","298999","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"passed","Fri Sep 01 15:51:05 GMT 2023","Fri Sep 01 16:03:20 GMT 2023","734531","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"failed","Fri Sep 01 19:36:52 GMT 2023","Fri Sep 01 19:43:44 GMT 2023","412326","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"failed","Fri Sep 01 17:50:06 GMT 2023","Fri Sep 01 18:00:52 GMT 2023","645394","","Audiobook in LYRASIS","","Check playback speed and sleep timer","","Check playback speed and sleep timer",""
"passed","Fri Sep 01 17:03:09 GMT 2023","Fri Sep 01 17:14:04 GMT 2023","654916","","Audiobook in LYRASIS","","Biblioboard: Check of line for time remaining","","Biblioboard: Check of line for time remaining",""
"broken","Fri Sep 01 20:40:05 GMT 2023","Fri Sep 01 20:53:38 GMT 2023","812665","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Fri Sep 01 18:34:22 GMT 2023","Fri Sep 01 18:45:37 GMT 2023","675253","","Audiobook in LYRASIS","","Check time tracking line","","Check time tracking line",""
"passed","Fri Sep 01 19:30:35 GMT 2023","Fri Sep 01 19:40:16 GMT 2023","581343","","Distributors","","LYRASIS: Biblioboard audiobooks: Check of canceling the downloading from book details view","","LYRASIS: Biblioboard audiobooks: Check of canceling the downloading from book details view",""
"broken","Fri Sep 01 20:53:15 GMT 2023","Fri Sep 01 21:03:15 GMT 2023","600370","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"broken","Fri Sep 01 21:13:37 GMT 2023","Fri Sep 01 21:18:57 GMT 2023","320166","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"broken","Fri Sep 01 18:01:26 GMT 2023","Fri Sep 01 18:15:05 GMT 2023","819210","","Audiobooks from Audible studios in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"failed","Fri Sep 01 17:38:17 GMT 2023","Fri Sep 01 17:50:06 GMT 2023","709217","","Audiobook in LYRASIS","","Biblioboard: Check of switching to the next time","","Biblioboard: Check of switching to the next time",""
"broken","Fri Sep 01 18:20:30 GMT 2023","Fri Sep 01 18:29:30 GMT 2023","540327","","Read EPUB in Lyrasis","","Font settings: Check of increasing and reducing the text size","","Font settings: Check of increasing and reducing the text size",""
"passed","Fri Sep 01 18:45:37 GMT 2023","Fri Sep 01 18:58:01 GMT 2023","743915","","Audiobook in LYRASIS","","Check time tracking line","","Check time tracking line",""
"passed","Fri Sep 01 18:58:01 GMT 2023","Fri Sep 01 19:10:54 GMT 2023","773098","","Audiobook in LYRASIS","","Check time tracking line","","Check time tracking line",""
"failed","Fri Sep 01 16:47:35 GMT 2023","Fri Sep 01 16:57:52 GMT 2023","617548","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"passed","Fri Sep 01 19:10:54 GMT 2023","Fri Sep 01 19:21:52 GMT 2023","657617","","Audiobook in LYRASIS","","Biblioboard: Check time tracking line","","Biblioboard: Check time tracking line",""
"broken","Fri Sep 01 21:25:55 GMT 2023","Fri Sep 01 21:37:20 GMT 2023","685235","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"failed","Fri Sep 01 19:54:40 GMT 2023","Fri Sep 01 20:06:35 GMT 2023","715666","","My books module","","Get a book from Book Detail View and Return from Books in LYRASIS","","Get a book from Book Detail View and Return from Books in LYRASIS",""
"broken","Fri Sep 01 19:26:44 GMT 2023","Fri Sep 01 19:36:52 GMT 2023","607877","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"failed","Fri Sep 01 16:25:00 GMT 2023","Fri Sep 01 16:36:22 GMT 2023","681959","","Audiobook in LYRASIS","","Biblioboard: Check end of chapter sleep timer","","Biblioboard: Check end of chapter sleep timer",""
"broken","Fri Sep 01 18:47:44 GMT 2023","Fri Sep 01 18:52:19 GMT 2023","275869","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Fri Sep 01 20:01:05 GMT 2023","Fri Sep 01 20:14:32 GMT 2023","806626","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Fri Sep 01 18:15:05 GMT 2023","Fri Sep 01 18:20:30 GMT 2023","324732","","Read EPUB in Lyrasis","","Font settings: Check of increasing and reducing the text size","","Font settings: Check of increasing and reducing the text size",""
"passed","Fri Sep 01 18:00:52 GMT 2023","Fri Sep 01 18:11:29 GMT 2023","637010","","Audiobook in LYRASIS","","Check playback speed and sleep timer","","Check playback speed and sleep timer",""
"failed","Fri Sep 01 16:03:20 GMT 2023","Fri Sep 01 16:15:11 GMT 2023","710613","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"broken","Fri Sep 01 16:56:19 GMT 2023","Fri Sep 01 17:08:20 GMT 2023","721017","","Audiobooks from Audible studios in LYRASIS","","Check playback speed and sleep timer","","Check playback speed and sleep timer",""
"passed","Fri Sep 01 17:18:57 GMT 2023","Fri Sep 01 17:26:37 GMT 2023","460082","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Fri Sep 01 18:52:20 GMT 2023","Fri Sep 01 19:02:44 GMT 2023","624870","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"passed","Fri Sep 01 20:19:38 GMT 2023","Fri Sep 01 20:32:37 GMT 2023","778904","","My books module","","Get a book from Subcategory List View and Return from Subcategory List View in LYRASIS","","Get a book from Subcategory List View and Return from Subcategory List View in LYRASIS",""
"broken","Fri Sep 01 16:44:06 GMT 2023","Fri Sep 01 16:56:19 GMT 2023","732422","","Audiobooks from Audible studios in LYRASIS","","Check of switching to the next time","","Check of switching to the next time",""
"broken","Fri Sep 01 17:49:20 GMT 2023","Fri Sep 01 18:01:26 GMT 2023","725929","","Audiobooks from Audible studios in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"failed","Fri Sep 01 17:26:37 GMT 2023","Fri Sep 01 17:37:13 GMT 2023","636166","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Fri Sep 01 20:28:13 GMT 2023","Fri Sep 01 20:40:05 GMT 2023","712429","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Fri Sep 01 21:06:55 GMT 2023","Fri Sep 01 21:18:39 GMT 2023","703972","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"failed","Fri Sep 01 20:43:01 GMT 2023","Fri Sep 01 20:54:04 GMT 2023","663714","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"broken","Fri Sep 01 19:40:16 GMT 2023","Fri Sep 01 19:52:20 GMT 2023","724247","","Manage Libraries","","Switch Library Reservations","","Switch Library Reservations",""
"broken","Fri Sep 01 19:43:44 GMT 2023","Fri Sep 01 19:54:49 GMT 2023","664954","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"broken","Fri Sep 01 16:32:31 GMT 2023","Fri Sep 01 16:44:06 GMT 2023","694944","","Audiobooks from Audible studios in LYRASIS","","Check of line for time remaining","","Check of line for time remaining",""
"broken","Fri Sep 01 17:31:57 GMT 2023","Fri Sep 01 17:38:17 GMT 2023","379745","","Audiobook in LYRASIS","","Check of switching to the next time","","Check of switching to the next time",""
"passed","Fri Sep 01 19:21:52 GMT 2023","Fri Sep 01 19:33:02 GMT 2023","670465","","Audiobook in LYRASIS","","Check of not rewinding forward and back by tapping on time bar","","Check of not rewinding forward and back by tapping on time bar",""
"broken","Fri Sep 01 18:56:15 GMT 2023","Fri Sep 01 19:00:53 GMT 2023","278547","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"broken","Fri Sep 01 20:54:04 GMT 2023","Fri Sep 01 21:02:43 GMT 2023","518978","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"broken","Fri Sep 01 21:18:57 GMT 2023","Fri Sep 01 21:27:42 GMT 2023","524166","","Read PDF in LYRARIS Reads on IOS","","Navigate by Page Lyrasis","","Navigate by Page Lyrasis",""
"passed","Fri Sep 01 21:03:15 GMT 2023","Fri Sep 01 21:13:37 GMT 2023","622141","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"broken","Fri Sep 01 17:43:14 GMT 2023","Fri Sep 01 17:49:20 GMT 2023","366215","","Audiobooks from Audible studios in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
