"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Books transactions in Palace Bookshelf","Get a book from Subcategory List View and Return from Books (IOS)","0","0","1","0","0"
"","Catalog Navigation","Check of books availability in LYRASIS","1","0","0","0","0"
"","Manage Libraries","Switch library bookshelf (IOS)","0","1","0","0","0"
"","Books transactions in Palace Bookshelf","Get a book Subcategory List View and Return from Subcategory List View (IOS)","0","0","1","0","0"
"","Book detail view screen","Check of a ""More..."" button in Description section in Overdrive","1","0","0","0","0"
"","Catalog Navigation","Browse Categories in Palace","1","0","0","0","0"
"","Read PDF in LYRARIS Reads on IOS","Check table of contents Lyrasis","0","1","0","0","0"
"","Distributors","Palace: Check of canceling the downloading from book details view","0","0","1","0","0"
"","Audiobooks in A1QA library","Audiobooks: Open the audiobook at the last open chapter and check time code","1","0","0","0","0"
"","Read PDF in Palace Bookshelf on IOS","Navigate by Page","0","0","1","0","0"
"","Read PDF in LYRARIS Reads on IOS","Search Pdf Functionality Lyrasis","0","1","0","0","0"
"","Read EPUB in Palace Bookshelf","Font settings: Check of text theme","0","1","0","0","0"
"","Catalog Navigation","Check all types of availability","1","0","0","0","0"
"","Book detail view screen","Check fields in Information section in Palace","0","0","1","0","0"
"","Read EPUB in Palace Bookshelf","Open book to last page read","0","0","1","0","0"
"","Catalog Navigation","Check of books collections","1","0","0","0","0"
"","Catalog Navigation","Check of tabs at the top of the screen in LYRASIS","1","0","0","0","0"
"","Reservation of book in LYRASIS","Hold from Book Detail View and Remove a Reserved Book from Book Detail View","0","1","0","0","0"
"","Distributors","Overdrive: Getting and returning an audiobook from Book Detail View","0","1","0","0","0"
"","Books transactions in Palace Bookshelf","Get a book from Book Detail View and Read from Book Detail View (IOS)","0","0","1","0","0"
"","Read EPUB from Overdrive in A1QA","Epub: Delete bookmarks","0","1","0","0","0"
"","My books module","Get a book from Subcategory List View and Read from Books in LYRASIS","1","0","0","0","0"
"","Search libraries and books","Delete a book from search bar in Palace","0","1","0","0","0"
"","Read EPUB in Lyrasis","Font settings: Check of text theme","0","3","0","0","0"
"","Manage Libraries","Settings: Libraries: Remove library","0","1","0","0","0"
"","Books transactions in Palace Bookshelf","Get a book from Subcategory List View and Read from Subcategory List View (IOS)","0","0","1","0","0"
"","Manage Libraries","Settings: Add library","0","1","0","0","0"
"","Read PDF in Palace Bookshelf on IOS","Navigate by Chapters","0","1","0","0","0"
"","Search libraries and books","Check that books from search result contain one or more entered latin letters or numeric in Palace","0","0","1","0","0"
"","My books module","Check of added books in Palace","0","1","0","0","0"
"","My books module","Check buttons under the book title in LYRASIS","1","1","0","0","0"
"","Distributors","Palace Bookshelf: Getting and returning a book from Book Detail View","0","1","0","0","0"
"","Read PDF in LYRARIS Reads on IOS","Bookmarks Functionality Lyrasis","0","1","0","0","0"
"","Search libraries and books","Find a book in Palace","0","0","1","0","0"
"","Manage Libraries","Logo: Add Library: Check of sorting libraries","1","0","0","0","0"
"","My books module","Check of sorting in Palace","0","1","0","0","0"
"","Audiobooks in A1QA library","Audiobooks: Check of not rewinding forward and back by tapping on time bar","0","1","0","0","0"
"","Menu Bar","Check of the tabs in LYRASIS","1","0","0","0","0"
"","Read PDF in LYRARIS Reads on IOS","Navigate by Thumbnails Lyrasis","0","1","0","0","0"
"","Catalog Navigation","Check of books sorting in Palace","1","0","0","0","0"
"","Audiobooks in A1QA library","Audiobooks: Check of switching to the next chapter","0","1","0","0","0"
"","Reservation of book in LYRASIS","Hold from Subcategory List View and Remove a Reserved Book from Holds","0","1","0","0","0"
"","Catalog Navigation","Check of ""More"" button in books sections in LYRASIS","1","0","0","0","0"
"","Audiobooks in A1QA library","Audiobooks: Check time tracking line","0","1","0","0","0"
"","Read PDF in LYRARIS Reads on IOS","Navigate by Page slider Lyrasis","0","1","0","0","0"
"","Read PDF in Palace Bookshelf on IOS","Search Pdf Functionality","0","1","0","0","0"
"","Book detail view screen","Check of a ""More..."" button in Description section in Palace","1","0","0","0","0"
"","Manage Libraries","Navigate by Tutorial","0","0","1","0","0"
"","Feed","Update Bookshelf List (IOS)","0","0","1","0","0"
"","Catalog Navigation","Sort Lists in LYRASIS","1","0","0","0","0"
"","Manage Libraries","Logo: Add library: Check of adding a library","1","0","0","0","0"
"","Menu Bar","Check of menu bar in LYRASIS","0","0","1","0","0"
"","Books transactions in Palace Bookshelf","Check of GET button","1","0","0","0","0"
"","Manage Libraries","Logo: Switch library","1","0","0","0","0"
"","Audiobooks in A1QA library","Audiobooks: Check of file numbers","1","0","0","0","0"
"","Book detail view screen","Check related books section in Palace","1","0","0","0","0"
"","Manage Libraries","Switch Library Reservations","0","1","0","0","0"
"","Read PDF in Palace Bookshelf on IOS","Navigate by Pdf Search Results","0","1","0","0","0"
"","My books module","Get a book from Subcategory List View and Return from Subcategory List View in LYRASIS","1","0","0","0","0"
"","Audiobooks in A1QA library","Audiobooks: Navigate by Audiobook","0","1","0","0","0"
"","Catalog Navigation","Return to last library catalog","0","1","0","0","0"
"","Reservation of book in LYRASIS","Hold from Book Detail View and and Remove a Reserved Book from Holds","0","1","0","0","0"
"","Read PDF in Palace Bookshelf on IOS","Check table of contents","0","1","0","0","0"
