"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 19 03:25:50 GMT 2023","Fri May 19 03:27:41 GMT 2023","111271","","Book detail view screen","","Get button: Check of availability of required interface elements","","Get button: Check of availability of required interface elements",""
"passed","Fri May 19 03:43:05 GMT 2023","Fri May 19 03:44:00 GMT 2023","55184","","Search libraries and books","","Check that books from search result contain one or more entered latin letters or numeric in LYRASIS","","Check that books from search result contain one or more entered latin letters or numeric in LYRASIS",""
"broken","Fri May 19 02:54:56 GMT 2023","Fri May 19 02:56:08 GMT 2023","72273","","My books module","","Check of added books in Palace","","Check of added books in Palace",""
"passed","Fri May 19 03:24:16 GMT 2023","Fri May 19 03:25:09 GMT 2023","53233","","Search libraries and books","","Delete a book from search bar in Palace","","Delete a book from search bar in Palace",""
"passed","Fri May 19 03:41:06 GMT 2023","Fri May 19 03:42:05 GMT 2023","59271","","Search libraries and books","","Check that books from search result contain one or more entered latin letters or numeric in LYRASIS","","Check that books from search result contain one or more entered latin letters or numeric in LYRASIS",""
"passed","Fri May 19 02:46:55 GMT 2023","Fri May 19 02:47:46 GMT 2023","50838","","Manage Libraries","","Welcome screen: Add Library","","Welcome screen: Add Library",""
"failed","Fri May 19 03:39:05 GMT 2023","Fri May 19 03:40:07 GMT 2023","61247","","Search libraries and books","","Find a book in LYRASIS","","Find a book in LYRASIS",""
"broken","Fri May 19 02:25:58 GMT 2023","Fri May 19 02:27:52 GMT 2023","113835","","Read EPUB from Overdrive in A1QA","","Epub: Navigate by Page","","Epub: Navigate by Page",""
"failed","Fri May 19 02:54:19 GMT 2023","Fri May 19 02:56:15 GMT 2023","115803","","Book detail view screen","","Check related books section in LYRASIS","","Check related books section in LYRASIS",""
"passed","Fri May 19 02:58:27 GMT 2023","Fri May 19 03:00:38 GMT 2023","130993","","Book detail view screen","","Check related books section in LYRASIS","","Check related books section in LYRASIS",""
"broken","Fri May 19 01:54:25 GMT 2023","Fri May 19 01:56:15 GMT 2023","109510","","Audiobooks in A1QA library","","Audiobooks: Check of line for time remaining","","Audiobooks: Check of line for time remaining",""
"broken","Fri May 19 02:13:50 GMT 2023","Fri May 19 02:15:23 GMT 2023","93133","","Catalog Navigation","","Browse Categories in Palace","","Browse Categories in Palace",""
"passed","Fri May 19 03:20:24 GMT 2023","Fri May 19 03:21:07 GMT 2023","43255","","Search libraries and books","","Enter invalid data","","Enter invalid data",""
"passed","Fri May 19 03:12:03 GMT 2023","Fri May 19 03:14:26 GMT 2023","142686","","Search libraries and books","","Find a library and delete it","","Find a library and delete it",""
"passed","Fri May 19 01:57:33 GMT 2023","Fri May 19 01:59:34 GMT 2023","121441","","Book detail view screen","","Check of a book title and author in LYRASIS","","Check of a book title and author in LYRASIS",""
"failed","Fri May 19 02:28:09 GMT 2023","Fri May 19 02:29:39 GMT 2023","89611","","Catalog Navigation","","Sort Lists in LYRASIS","","Sort Lists in LYRASIS",""
"passed","Fri May 19 03:06:04 GMT 2023","Fri May 19 03:07:34 GMT 2023","90824","","Book detail view screen","","Check of a book title and author in Palace","","Check of a book title and author in Palace",""
"broken","Fri May 19 02:56:08 GMT 2023","Fri May 19 02:58:02 GMT 2023","114010","","My books module","","Check of sorting in Palace","","Check of sorting in Palace",""
"failed","Fri May 19 03:10:25 GMT 2023","Fri May 19 03:12:42 GMT 2023","137508","","Read PDF in Palace Bookshelf on IOS","","Navigate by Page slider","","Navigate by Page slider",""
"passed","Fri May 19 03:38:08 GMT 2023","Fri May 19 03:39:05 GMT 2023","57189","","Search libraries and books","","Check of displaying the search field after search a book in LYRASIS","","Check of displaying the search field after search a book in LYRASIS",""
"broken","Fri May 19 02:21:27 GMT 2023","Fri May 19 02:23:17 GMT 2023","109947","","Read EPUB from Overdrive in A1QA","","Epub: Font settings: Check of font style","","Epub: Font settings: Check of font style",""
"broken","Fri May 19 01:56:15 GMT 2023","Fri May 19 01:58:05 GMT 2023","109887","","Audiobooks in A1QA library","","Audiobooks: Check of switching to the next chapter","","Audiobooks: Check of switching to the next chapter",""
"passed","Fri May 19 02:15:23 GMT 2023","Fri May 19 02:16:53 GMT 2023","89562","","Catalog Navigation","","Check of the titles of books sections in Palace","","Check of the titles of books sections in Palace",""
"failed","Fri May 19 02:11:38 GMT 2023","Fri May 19 02:13:44 GMT 2023","126004","","Book detail view screen","","Check of a book format in LYRASIS","","Check of a book format in LYRASIS",""
"passed","Fri May 19 03:31:37 GMT 2023","Fri May 19 03:32:31 GMT 2023","53657","","Search libraries and books","","Enter invalid data in book name in Palace","","Enter invalid data in book name in Palace",""
"broken","Fri May 19 02:12:58 GMT 2023","Fri May 19 02:14:55 GMT 2023","116694","","Distributors","","Overdrive: Getting and returning an audiobook from Book Detail View","","Overdrive: Getting and returning an audiobook from Book Detail View",""
"passed","Fri May 19 03:14:26 GMT 2023","Fri May 19 03:15:11 GMT 2023","45563","","Search libraries and books","","Check that library name contains one or more entered latin letters","","Check that library name contains one or more entered latin letters",""
"broken","Fri May 19 03:21:36 GMT 2023","Fri May 19 05:35:47 GMT 2023","8050959","","Check sections from settings screen","","User Agreement","","User Agreement",""
"broken","Fri May 19 02:47:46 GMT 2023","Fri May 19 02:49:05 GMT 2023","78473","","Manage Libraries","","Settings: Add library","","Settings: Add library",""
"failed","Fri May 19 02:22:12 GMT 2023","Fri May 19 02:23:01 GMT 2023","49190","","Book detail view screen","","Check of a ""More..."" button in Description section in LYRASIS","","Check of a ""More..."" button in Description section in LYRASIS",""
"broken","Fri May 19 03:44:59 GMT 2023","Fri May 19 03:46:22 GMT 2023","83830","","Search libraries and books","","Find a book with name in different font cases in LYRASIS","","Find a book with name in different font cases in LYRASIS",""
