"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Sep 16 07:35:10 GMT 2023","Sat Sep 16 07:35:53 GMT 2023","42609","","Manage Libraries","","Navigate by Tutorial","","Navigate by Tutorial",""
"broken","Sat Sep 16 07:19:10 GMT 2023","Sat Sep 16 07:19:54 GMT 2023","44312","","Book detail view screen","","Check of a book title and author in LYRASIS","","Check of a book title and author in LYRASIS",""
"broken","Sat Sep 16 07:31:44 GMT 2023","Sat Sep 16 07:32:32 GMT 2023","47325","","Book detail view screen","","Check of a ""More..."" button in Description section in LYRASIS","","Check of a ""More..."" button in Description section in LYRASIS",""
"broken","Sat Sep 16 07:40:00 GMT 2023","Sat Sep 16 07:41:02 GMT 2023","62151","","Book detail view screen","","Check fields in Information section in LYRASIS","","Check fields in Information section in LYRASIS",""
"broken","Sat Sep 16 07:30:35 GMT 2023","Sat Sep 16 07:31:20 GMT 2023","44718","","Catalog Navigation","","Check all types of availability","","Check all types of availability",""
"broken","Sat Sep 16 07:16:01 GMT 2023","Sat Sep 16 07:16:50 GMT 2023","49626","","Audiobooks in A1QA library","","Audiobooks: Open the audiobook at the last open chapter and check time code","","Audiobooks: Open the audiobook at the last open chapter and check time code",""
"broken","Sat Sep 16 07:49:36 GMT 2023","Sat Sep 16 07:50:23 GMT 2023","47454","","Check sections from settings screen","","Software Licenses","","Software Licenses",""
"broken","Sat Sep 16 08:09:15 GMT 2023","Sat Sep 16 08:10:03 GMT 2023","48322","","Search libraries and books","","Find a book with name in different font cases in LYRASIS","","Find a book with name in different font cases in LYRASIS",""
"broken","Sat Sep 16 07:28:26 GMT 2023","Sat Sep 16 07:29:15 GMT 2023","48571","","Book detail view screen","","Check of a ""More..."" button in Description section in LYRASIS","","Check of a ""More..."" button in Description section in LYRASIS",""
"broken","Sat Sep 16 07:53:15 GMT 2023","Sat Sep 16 07:53:59 GMT 2023","44331","","Search libraries and books","","Delete a book from search bar in Palace","","Delete a book from search bar in Palace",""
"broken","Sat Sep 16 07:29:28 GMT 2023","Sat Sep 16 07:30:14 GMT 2023","45502","","Read EPUB from Overdrive in A1QA","","Epub: Font settings: Check of font style","","Epub: Font settings: Check of font style",""
"broken","Sat Sep 16 07:39:20 GMT 2023","Sat Sep 16 07:40:04 GMT 2023","43388","","My books module","","Check of added books in Palace","","Check of added books in Palace",""
"broken","Sat Sep 16 07:41:31 GMT 2023","Sat Sep 16 07:42:20 GMT 2023","49330","","Read PDF in Palace Bookshelf on Android","","Check table of contents Palace","","Check table of contents Palace",""
"broken","Sat Sep 16 07:26:11 GMT 2023","Sat Sep 16 07:26:55 GMT 2023","44048","","Book detail view screen","","Check of a book format in LYRASIS","","Check of a book format in LYRASIS",""
"broken","Sat Sep 16 07:26:02 GMT 2023","Sat Sep 16 07:26:46 GMT 2023","44086","","Catalog Navigation","","Check of tabs at the top of the screen in LYRASIS","","Check of tabs at the top of the screen in LYRASIS",""
"broken","Sat Sep 16 07:31:20 GMT 2023","Sat Sep 16 07:32:09 GMT 2023","48792","","Read EPUB in Palace Bookshelf","","Navigate by Page","","Navigate by Page",""
"failed","Sat Sep 16 07:44:34 GMT 2023","Sat Sep 16 07:45:22 GMT 2023","47934","","Search libraries and books","","Check that library name contains one or more entered latin letters","","Check that library name contains one or more entered latin letters",""
"broken","Sat Sep 16 07:40:47 GMT 2023","Sat Sep 16 07:41:31 GMT 2023","43252","","Read PDF in Palace Bookshelf on Android","","Check of book title and back button Palace","","Check of book title and back button Palace",""
"broken","Sat Sep 16 08:10:48 GMT 2023","Sat Sep 16 08:11:36 GMT 2023","47894","","Search libraries and books","","Find a book with name in different font cases in LYRASIS","","Find a book with name in different font cases in LYRASIS",""
"broken","Sat Sep 16 07:46:31 GMT 2023","Sat Sep 16 07:47:22 GMT 2023","50826","","Read PDF in Palace Bookshelf on Android","","Settings: Check of Wrapped scrolling Palace","","Settings: Check of Wrapped scrolling Palace",""
"broken","Sat Sep 16 07:56:08 GMT 2023","Sat Sep 16 07:56:58 GMT 2023","49775","","Book detail view screen","","Get: Sign in: Check of loging in with leaving the Library Card field empty","","Get: Sign in: Check of loging in with leaving the Library Card field empty",""
"broken","Sat Sep 16 07:37:32 GMT 2023","Sat Sep 16 07:38:18 GMT 2023","46533","","Manage Libraries","","Settings: Add Library: Check of the added libraries sorting","","Settings: Add Library: Check of the added libraries sorting",""
"broken","Sat Sep 16 07:48:51 GMT 2023","Sat Sep 16 07:49:36 GMT 2023","44481","","Check sections from settings screen","","User Agreement","","User Agreement",""
"broken","Sat Sep 16 07:17:31 GMT 2023","Sat Sep 16 07:18:20 GMT 2023","48584","","Books transactions in Palace Bookshelf","","Get a book from Subcategory List View and Read from Subcategory List View (ANDROID)","","Get a book from Subcategory List View and Read from Subcategory List View (ANDROID)",""
