"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 07 18:46:26 GMT 2023","Tue Mar 07 18:50:53 GMT 2023","266856","","Read PDF in LYRARIS Reads on IOS","","Check invalid data in searching Lyrasis","","Check invalid data in searching Lyrasis",""
"failed","Tue Mar 07 17:58:49 GMT 2023","Tue Mar 07 18:03:09 GMT 2023","260374","","Audiobook in Lyrasis","","Check playback speed and sleep timer","","Check playback speed and sleep timer",""
"failed","Tue Mar 07 18:27:43 GMT 2023","Tue Mar 07 18:32:25 GMT 2023","282032","","Read PDF in LYRARIS Reads on IOS","","Bookmarks Functionality Lyrasis","","Bookmarks Functionality Lyrasis",""
"failed","Tue Mar 07 18:27:44 GMT 2023","Tue Mar 07 18:32:10 GMT 2023","265660","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"passed","Tue Mar 07 17:44:18 GMT 2023","Tue Mar 07 17:47:44 GMT 2023","205532","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Tue Mar 07 16:38:58 GMT 2023","Tue Mar 07 16:43:22 GMT 2023","263895","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"failed","Tue Mar 07 17:17:19 GMT 2023","Tue Mar 07 17:20:50 GMT 2023","210640","","Read EPUB in Lyrasis","","Navigate by Page","","Navigate by Page",""
"passed","Tue Mar 07 16:45:23 GMT 2023","Tue Mar 07 16:49:48 GMT 2023","264595","","Audiobook in Lyrasis","","Navigate by Audiobook","","Navigate by Audiobook",""
"broken","Tue Mar 07 18:09:41 GMT 2023","Tue Mar 07 18:14:10 GMT 2023","268540","","My books module","","Get a book from Subcategory List View and Read from Books in LYRASIS","","Get a book from Subcategory List View and Read from Books in LYRASIS",""
"broken","Tue Mar 07 18:48:48 GMT 2023","Tue Mar 07 18:51:59 GMT 2023","190802","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Tue Mar 07 18:18:37 GMT 2023","Tue Mar 07 18:23:19 GMT 2023","282583","","Read PDF in LYRARIS Reads on IOS","","Navigate by Pdf Search Results Lyrasis","","Navigate by Pdf Search Results Lyrasis",""
"broken","Tue Mar 07 18:43:42 GMT 2023","Tue Mar 07 18:46:19 GMT 2023","157113","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Tue Mar 07 17:56:22 GMT 2023","Tue Mar 07 17:58:39 GMT 2023","136732","","Manage Libraries","","Store library card","","Store library card",""
"failed","Tue Mar 07 18:14:29 GMT 2023","Tue Mar 07 18:18:37 GMT 2023","247822","","Read PDF in LYRARIS Reads on IOS","","Search Pdf Functionality Lyrasis","","Search Pdf Functionality Lyrasis",""
"failed","Tue Mar 07 19:03:05 GMT 2023","Tue Mar 07 19:07:35 GMT 2023","269919","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"broken","Tue Mar 07 18:04:10 GMT 2023","Tue Mar 07 18:09:48 GMT 2023","337944","","Read PDF in LYRARIS Reads on IOS","","Open book to last page read Lyrasis","","Open book to last page read Lyrasis",""
"failed","Tue Mar 07 17:31:22 GMT 2023","Tue Mar 07 17:35:55 GMT 2023","272918","","Audiobook in Lyrasis","","Check of switching to the next time","","Check of switching to the next time",""
"broken","Tue Mar 07 16:57:27 GMT 2023","Tue Mar 07 17:02:46 GMT 2023","319921","","Read EPUB in Lyrasis","","Font settings: Check of text theme","","Font settings: Check of text theme",""
"failed","Tue Mar 07 17:05:42 GMT 2023","Tue Mar 07 17:13:18 GMT 2023","455790","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"failed","Tue Mar 07 18:54:05 GMT 2023","Tue Mar 07 18:58:27 GMT 2023","261646","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"passed","Tue Mar 07 19:28:10 GMT 2023","Tue Mar 07 19:31:58 GMT 2023","227934","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"failed","Tue Mar 07 16:59:47 GMT 2023","Tue Mar 07 17:04:16 GMT 2023","268813","","Audiobook in Lyrasis","","Check end of chapter sleep timer","","Check end of chapter sleep timer",""
"passed","Tue Mar 07 18:34:40 GMT 2023","Tue Mar 07 18:39:07 GMT 2023","267020","","Audiobook in Lyrasis","","Check of not rewinding forward and back by tapping on time bar","","Check of not rewinding forward and back by tapping on time bar",""
"failed","Tue Mar 07 18:14:10 GMT 2023","Tue Mar 07 18:18:40 GMT 2023","270188","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"passed","Tue Mar 07 19:05:40 GMT 2023","Tue Mar 07 19:10:28 GMT 2023","288093","","Read PDF in LYRARIS Reads on IOS","","Check valid data in searching Lyrasis","","Check valid data in searching Lyrasis",""
"broken","Tue Mar 07 19:05:50 GMT 2023","Tue Mar 07 19:11:39 GMT 2023","348899","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Tue Mar 07 16:27:21 GMT 2023","Tue Mar 07 16:31:51 GMT 2023","270134","","Audiobook in Lyrasis","","Open the audiobook at the last open chapter and check time code","","Open the audiobook at the last open chapter and check time code",""
"passed","Tue Mar 07 16:44:21 GMT 2023","Tue Mar 07 16:49:10 GMT 2023","288188","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"passed","Tue Mar 07 19:10:28 GMT 2023","Tue Mar 07 19:15:09 GMT 2023","280849","","Read PDF in LYRARIS Reads on IOS","","Check valid data in searching Lyrasis","","Check valid data in searching Lyrasis",""
"broken","Tue Mar 07 19:15:46 GMT 2023","Tue Mar 07 19:19:55 GMT 2023","249838","","Reservation of book in LYRASIS","","Hold from Book Detail View and and Remove a Reserved Book from Holds","","Hold from Book Detail View and and Remove a Reserved Book from Holds",""
"passed","Tue Mar 07 18:05:41 GMT 2023","Tue Mar 07 18:09:41 GMT 2023","240625","","My books module","","Get a book from Subcategory List View and Return from Subcategory List View in LYRASIS","","Get a book from Subcategory List View and Return from Subcategory List View in LYRASIS",""
"broken","Tue Mar 07 17:38:58 GMT 2023","Tue Mar 07 17:43:12 GMT 2023","254373","","Read EPUB in Lyrasis","","Navigate by bookmarks","","Navigate by bookmarks",""
"passed","Tue Mar 07 19:19:52 GMT 2023","Tue Mar 07 19:22:21 GMT 2023","148790","","Check sections from settings screen","","Setting: Advanced","","Setting: Advanced",""
"passed","Tue Mar 07 19:42:30 GMT 2023","Tue Mar 07 19:46:29 GMT 2023","239553","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"passed","Tue Mar 07 18:50:53 GMT 2023","Tue Mar 07 18:56:12 GMT 2023","318882","","Read PDF in LYRARIS Reads on IOS","","Check invalid data in searching Lyrasis","","Check invalid data in searching Lyrasis",""
"broken","Tue Mar 07 16:17:47 GMT 2023","Tue Mar 07 16:23:17 GMT 2023","330427","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"broken","Tue Mar 07 16:23:22 GMT 2023","Tue Mar 07 16:28:42 GMT 2023","320020","","Read EPUB in Lyrasis","","Font settings: Check of increasing and reducing the text size","","Font settings: Check of increasing and reducing the text size",""
"failed","Tue Mar 07 17:50:27 GMT 2023","Tue Mar 07 17:54:32 GMT 2023","245425","","Audiobook in Lyrasis","","Check playback speed and sleep timer","","Check playback speed and sleep timer",""
"broken","Tue Mar 07 16:52:58 GMT 2023","Tue Mar 07 16:57:26 GMT 2023","268000","","Read EPUB in Lyrasis","","Font settings: Check of text theme","","Font settings: Check of text theme",""
"broken","Tue Mar 07 18:51:59 GMT 2023","Tue Mar 07 18:54:24 GMT 2023","144855","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Tue Mar 07 17:18:16 GMT 2023","Tue Mar 07 17:22:26 GMT 2023","249874","","Audiobook in Lyrasis","","Check of line for time remaining","","Check of line for time remaining",""
"passed","Tue Mar 07 17:33:27 GMT 2023","Tue Mar 07 17:37:03 GMT 2023","215856","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"passed","Tue Mar 07 17:03:17 GMT 2023","Tue Mar 07 17:08:09 GMT 2023","292488","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"failed","Tue Mar 07 18:39:07 GMT 2023","Tue Mar 07 18:43:42 GMT 2023","275224","","Audiobook in Lyrasis","","BiblioBoard: Check of not rewinding forward and back by tapping on time bar","","BiblioBoard: Check of not rewinding forward and back by tapping on time bar",""
"broken","Tue Mar 07 19:32:30 GMT 2023","Tue Mar 07 19:37:45 GMT 2023","314309","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"failed","Tue Mar 07 16:54:04 GMT 2023","Tue Mar 07 16:59:47 GMT 2023","343668","","Audiobook in Lyrasis","","Check end of chapter sleep timer","","Check end of chapter sleep timer",""
"passed","Tue Mar 07 17:22:26 GMT 2023","Tue Mar 07 17:26:29 GMT 2023","243533","","Audiobook in Lyrasis","","Check of line for time remaining","","Check of line for time remaining",""
"passed","Tue Mar 07 17:35:55 GMT 2023","Tue Mar 07 17:41:06 GMT 2023","310772","","Audiobook in Lyrasis","","Check of switching to the next time","","Check of switching to the next time",""
"broken","Tue Mar 07 16:17:47 GMT 2023","Tue Mar 07 16:23:22 GMT 2023","335480","","Read EPUB in Lyrasis","","Font settings: Check of increasing and reducing the text size","","Font settings: Check of increasing and reducing the text size",""
"failed","Tue Mar 07 19:28:36 GMT 2023","Tue Mar 07 19:32:30 GMT 2023","234538","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Tue Mar 07 19:52:49 GMT 2023","Tue Mar 07 19:55:10 GMT 2023","141498","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"failed","Tue Mar 07 17:09:36 GMT 2023","Tue Mar 07 17:14:00 GMT 2023","263231","","Audiobook in Lyrasis","","Biblioboard: Check end of chapter sleep timer","","Biblioboard: Check end of chapter sleep timer",""
"broken","Tue Mar 07 18:46:19 GMT 2023","Tue Mar 07 18:48:48 GMT 2023","148854","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Tue Mar 07 19:24:12 GMT 2023","Tue Mar 07 19:28:10 GMT 2023","238617","","Reservation of book in LYRASIS","","Hold from Book Detail View and Cancel remove from holds tab (IOS)","","Hold from Book Detail View and Cancel remove from holds tab (IOS)",""
"failed","Tue Mar 07 19:37:45 GMT 2023","Tue Mar 07 19:42:42 GMT 2023","297696","","Audiobook in Lyrasis","","Biblioboard: Playback speed: Check of playback speed","","Biblioboard: Playback speed: Check of playback speed",""
"broken","Tue Mar 07 19:22:56 GMT 2023","Tue Mar 07 19:28:36 GMT 2023","339981","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Tue Mar 07 17:52:00 GMT 2023","Tue Mar 07 17:56:07 GMT 2023","246722","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"passed","Tue Mar 07 18:11:46 GMT 2023","Tue Mar 07 18:16:19 GMT 2023","273300","","Audiobook in Lyrasis","","Check time tracking line","","Check time tracking line",""
"passed","Tue Mar 07 17:28:20 GMT 2023","Tue Mar 07 17:33:50 GMT 2023","329653","","Read EPUB in Lyrasis","","Navigate by bookmarks","","Navigate by bookmarks",""
"passed","Tue Mar 07 16:49:10 GMT 2023","Tue Mar 07 16:53:57 GMT 2023","287653","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"failed","Tue Mar 07 16:49:48 GMT 2023","Tue Mar 07 16:54:04 GMT 2023","255784","","Audiobook in Lyrasis","","Biblioboard: Navigate by Audiobook","","Biblioboard: Navigate by Audiobook",""
"passed","Tue Mar 07 19:34:22 GMT 2023","Tue Mar 07 19:38:14 GMT 2023","232016","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"failed","Tue Mar 07 17:02:46 GMT 2023","Tue Mar 07 17:05:42 GMT 2023","175304","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"passed","Tue Mar 07 16:34:14 GMT 2023","Tue Mar 07 16:37:48 GMT 2023","214429","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"passed","Tue Mar 07 17:41:06 GMT 2023","Tue Mar 07 17:46:24 GMT 2023","317885","","Audiobook in Lyrasis","","Check of switching to the next time","","Check of switching to the next time",""
"passed","Tue Mar 07 19:15:09 GMT 2023","Tue Mar 07 19:19:52 GMT 2023","283148","","Read PDF in LYRARIS Reads on IOS","","Check valid data in searching Lyrasis","","Check valid data in searching Lyrasis",""
"passed","Tue Mar 07 16:23:17 GMT 2023","Tue Mar 07 16:26:52 GMT 2023","214691","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"failed","Tue Mar 07 19:42:42 GMT 2023","Tue Mar 07 19:46:50 GMT 2023","247767","","Audiobook in Lyrasis","","Biblioboard: Playback speed: Check of playback speed","","Biblioboard: Playback speed: Check of playback speed",""
"passed","Tue Mar 07 16:26:52 GMT 2023","Tue Mar 07 16:30:29 GMT 2023","217459","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"failed","Tue Mar 07 16:40:51 GMT 2023","Tue Mar 07 16:45:23 GMT 2023","272632","","Audiobook in Lyrasis","","Navigate by Audiobook","","Navigate by Audiobook",""
"broken","Tue Mar 07 16:47:53 GMT 2023","Tue Mar 07 16:52:58 GMT 2023","305864","","Read EPUB in Lyrasis","","Font settings: Check of text theme","","Font settings: Check of text theme",""
"broken","Tue Mar 07 17:13:18 GMT 2023","Tue Mar 07 17:17:19 GMT 2023","241649","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"failed","Tue Mar 07 17:46:24 GMT 2023","Tue Mar 07 17:50:27 GMT 2023","242791","","Audiobook in Lyrasis","","Biblioboard: Check of switching to the next time","","Biblioboard: Check of switching to the next time",""
"passed","Tue Mar 07 18:32:25 GMT 2023","Tue Mar 07 18:36:45 GMT 2023","259809","","Read PDF in LYRARIS Reads on IOS","","Check table of contents Lyrasis","","Check table of contents Lyrasis",""
"failed","Tue Mar 07 18:23:04 GMT 2023","Tue Mar 07 18:27:44 GMT 2023","280390","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"passed","Tue Mar 07 18:09:48 GMT 2023","Tue Mar 07 18:14:29 GMT 2023","280623","","Read PDF in LYRARIS Reads on IOS","","Navigate by Thumbnails Lyrasis","","Navigate by Thumbnails Lyrasis",""
"passed","Tue Mar 07 17:26:21 GMT 2023","Tue Mar 07 17:29:50 GMT 2023","209272","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"failed","Tue Mar 07 18:00:35 GMT 2023","Tue Mar 07 18:05:41 GMT 2023","305820","","My books module","","Get a book from Subcategory List View and Return from Books in LYRASIS","","Get a book from Subcategory List View and Return from Books in LYRASIS",""
"broken","Tue Mar 07 19:17:21 GMT 2023","Tue Mar 07 19:22:56 GMT 2023","335128","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Tue Mar 07 16:22:39 GMT 2023","Tue Mar 07 16:27:21 GMT 2023","282496","","Audiobook in Lyrasis","","Open the audiobook at the last open chapter and check time code","","Open the audiobook at the last open chapter and check time code",""
"passed","Tue Mar 07 19:46:29 GMT 2023","Tue Mar 07 19:50:29 GMT 2023","239584","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"passed","Tue Mar 07 17:08:09 GMT 2023","Tue Mar 07 17:13:04 GMT 2023","294320","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"passed","Tue Mar 07 17:54:32 GMT 2023","Tue Mar 07 17:58:49 GMT 2023","256336","","Audiobook in Lyrasis","","Check playback speed and sleep timer","","Check playback speed and sleep timer",""
"passed","Tue Mar 07 16:36:14 GMT 2023","Tue Mar 07 16:40:51 GMT 2023","276831","","Audiobook in Lyrasis","","Navigate by Audiobook","","Navigate by Audiobook",""
"passed","Tue Mar 07 17:58:39 GMT 2023","Tue Mar 07 18:04:10 GMT 2023","330914","","Read PDF in LYRARIS Reads on IOS","","Navigate by Page Lyrasis","","Navigate by Page Lyrasis",""
"failed","Tue Mar 07 18:40:54 GMT 2023","Tue Mar 07 18:45:22 GMT 2023","268115","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"failed","Tue Mar 07 17:26:29 GMT 2023","Tue Mar 07 17:31:22 GMT 2023","293230","","Audiobook in Lyrasis","","Biblioboard: Check of line for time remaining","","Biblioboard: Check of line for time remaining",""
"failed","Tue Mar 07 18:32:10 GMT 2023","Tue Mar 07 18:36:28 GMT 2023","257617","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"broken","Tue Mar 07 16:33:48 GMT 2023","Tue Mar 07 16:38:58 GMT 2023","310002","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"broken","Tue Mar 07 17:24:34 GMT 2023","Tue Mar 07 17:28:20 GMT 2023","225451","","Read EPUB in Lyrasis","","Navigate by Page","","Navigate by Page",""
"passed","Tue Mar 07 16:30:29 GMT 2023","Tue Mar 07 16:34:14 GMT 2023","224828","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"passed","Tue Mar 07 17:40:29 GMT 2023","Tue Mar 07 17:44:18 GMT 2023","229651","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
