"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 01 01:05:05 GMT 2023","Wed Feb 01 01:09:24 GMT 2023","259088","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"broken","Wed Feb 01 02:08:15 GMT 2023","Wed Feb 01 02:09:42 GMT 2023","86563","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Feb 01 01:04:10 GMT 2023","Wed Feb 01 01:07:54 GMT 2023","224445","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"failed","Wed Feb 01 01:06:01 GMT 2023","Wed Feb 01 01:12:34 GMT 2023","392633","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Wed Feb 01 01:22:14 GMT 2023","Wed Feb 01 01:25:31 GMT 2023","196820","","Audiobook in Lyrasis","","Check end of chapter sleep timer","","Check end of chapter sleep timer",""
"broken","Wed Feb 01 02:21:38 GMT 2023","Wed Feb 01 02:24:37 GMT 2023","179039","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Feb 01 00:39:31 GMT 2023","Wed Feb 01 00:45:28 GMT 2023","356380","","Read EPUB in Lyrasis","","Font settings: Check of increasing and reducing the text size","","Font settings: Check of increasing and reducing the text size",""
"broken","Wed Feb 01 02:33:28 GMT 2023","Wed Feb 01 02:36:26 GMT 2023","177472","","Audiobook in Lyrasis","","Biblioboard: Playback speed: Check of playback speed","","Biblioboard: Playback speed: Check of playback speed",""
"broken","Wed Feb 01 02:12:49 GMT 2023","Wed Feb 01 02:15:48 GMT 2023","179166","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Feb 01 01:38:54 GMT 2023","Wed Feb 01 01:40:22 GMT 2023","88133","","Audiobook in Lyrasis","","Check playback speed and sleep timer","","Check playback speed and sleep timer",""
"broken","Wed Feb 01 02:00:19 GMT 2023","Wed Feb 01 02:03:16 GMT 2023","176888","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Feb 01 01:31:09 GMT 2023","Wed Feb 01 01:34:10 GMT 2023","181115","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"broken","Wed Feb 01 00:51:09 GMT 2023","Wed Feb 01 00:58:09 GMT 2023","420055","","Read EPUB in Lyrasis","","Font settings: Check of increasing and reducing the text size","","Font settings: Check of increasing and reducing the text size",""
"broken","Wed Feb 01 01:03:24 GMT 2023","Wed Feb 01 01:06:01 GMT 2023","157366","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"broken","Wed Feb 01 01:30:17 GMT 2023","Wed Feb 01 01:31:14 GMT 2023","56882","","Read PDF in LYRASIS Reads on Android","","Check of settings screen and page navigation in Lyrasis","","Check of settings screen and page navigation in Lyrasis",""
"broken","Wed Feb 01 02:20:11 GMT 2023","Wed Feb 01 02:21:38 GMT 2023","87539","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Feb 01 01:40:31 GMT 2023","Wed Feb 01 01:41:58 GMT 2023","87052","","Read EPUB in Lyrasis","","Navigate by bookmarks","","Navigate by bookmarks",""
"broken","Wed Feb 01 02:24:37 GMT 2023","Wed Feb 01 02:27:34 GMT 2023","176313","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Feb 01 01:10:28 GMT 2023","Wed Feb 01 01:12:53 GMT 2023","144317","","Audiobook in Lyrasis","","Navigate by Audiobook","","Navigate by Audiobook",""
"broken","Wed Feb 01 01:36:36 GMT 2023","Wed Feb 01 01:39:52 GMT 2023","196325","","Reservation of book in LYRASIS","","Hold from Subcategory List View and Remove a Reserved Book from Subcategory List View","","Hold from Subcategory List View and Remove a Reserved Book from Subcategory List View",""
"broken","Wed Feb 01 01:57:18 GMT 2023","Wed Feb 01 02:00:19 GMT 2023","181256","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"failed","Wed Feb 01 01:02:31 GMT 2023","Wed Feb 01 01:06:01 GMT 2023","210043","","Audiobook in Lyrasis","","Navigate by Audiobook","","Navigate by Audiobook",""
"broken","Wed Feb 01 01:28:08 GMT 2023","Wed Feb 01 01:31:09 GMT 2023","181520","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"failed","Wed Feb 01 01:00:40 GMT 2023","Wed Feb 01 01:03:24 GMT 2023","163459","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"broken","Wed Feb 01 02:17:13 GMT 2023","Wed Feb 01 02:20:11 GMT 2023","177383","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Feb 01 01:24:23 GMT 2023","Wed Feb 01 01:27:21 GMT 2023","178532","","Read PDF in LYRASIS Reads on Android","","TOC: Contents with thumbnails: Check of Contents list and navigation in Lyrasis","","TOC: Contents with thumbnails: Check of Contents list and navigation in Lyrasis",""
"broken","Wed Feb 01 01:44:53 GMT 2023","Wed Feb 01 01:46:16 GMT 2023","82934","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"broken","Wed Feb 01 01:25:31 GMT 2023","Wed Feb 01 01:27:04 GMT 2023","92874","","Audiobook in Lyrasis","","Check of switching to the next time","","Check of switching to the next time",""
"broken","Wed Feb 01 02:03:16 GMT 2023","Wed Feb 01 02:06:19 GMT 2023","182538","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Feb 01 01:23:04 GMT 2023","Wed Feb 01 01:24:58 GMT 2023","113495","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Wed Feb 01 01:46:16 GMT 2023","Wed Feb 01 01:47:42 GMT 2023","86027","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"broken","Wed Feb 01 01:16:28 GMT 2023","Wed Feb 01 01:18:22 GMT 2023","114439","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"broken","Wed Feb 01 01:41:27 GMT 2023","Wed Feb 01 01:42:56 GMT 2023","89103","","Reservation of book in LYRASIS","","Hold from Book Detail View and Remove a Reserved Book from Book Detail View","","Hold from Book Detail View and Remove a Reserved Book from Book Detail View",""
"broken","Wed Feb 01 01:00:37 GMT 2023","Wed Feb 01 01:05:04 GMT 2023","267732","","My books module","","Get a book from Subcategory List View and Read from Books in LYRASIS","","Get a book from Subcategory List View and Read from Books in LYRASIS",""
"broken","Wed Feb 01 00:46:01 GMT 2023","Wed Feb 01 00:51:32 GMT 2023","330745","","Audiobook in Lyrasis","","Open the audiobook at the last open chapter and check time code","","Open the audiobook at the last open chapter and check time code",""
"broken","Wed Feb 01 01:20:12 GMT 2023","Wed Feb 01 01:23:04 GMT 2023","172164","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Wed Feb 01 01:27:59 GMT 2023","Wed Feb 01 01:30:25 GMT 2023","146368","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Wed Feb 01 02:30:32 GMT 2023","Wed Feb 01 02:33:28 GMT 2023","176526","","Audiobook in Lyrasis","","Biblioboard: Playback speed: Check of playback speed","","Biblioboard: Playback speed: Check of playback speed",""
"broken","Wed Feb 01 01:34:44 GMT 2023","Wed Feb 01 01:36:36 GMT 2023","111988","","Reservation of book in LYRASIS","","Hold from Subcategory List View and Remove a Reserved Book from Holds","","Hold from Subcategory List View and Remove a Reserved Book from Holds",""
"broken","Wed Feb 01 01:20:22 GMT 2023","Wed Feb 01 01:21:19 GMT 2023","56951","","Audiobook in Lyrasis","","Check end of chapter sleep timer","","Check end of chapter sleep timer",""
"broken","Wed Feb 01 01:39:33 GMT 2023","Wed Feb 01 01:40:59 GMT 2023","85977","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Wed Feb 01 01:19:51 GMT 2023","Wed Feb 01 01:21:19 GMT 2023","88128","","Read PDF in LYRASIS Reads on Android","","Check of book title and back button in Lyrasis","","Check of book title and back button in Lyrasis",""
"broken","Wed Feb 01 01:43:23 GMT 2023","Wed Feb 01 01:44:53 GMT 2023","89884","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"broken","Wed Feb 01 01:21:19 GMT 2023","Wed Feb 01 01:24:23 GMT 2023","183226","","Read PDF in LYRASIS Reads on Android","","Check table of contents in Lyrasis","","Check table of contents in Lyrasis",""
