"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 03 03:26:18 GMT 2023","Sat Jun 03 03:27:03 GMT 2023","45081","","Search libraries and books","","Enter invalid data","","Enter invalid data",""
"broken","Sat Jun 03 02:15:37 GMT 2023","Sat Jun 03 02:17:52 GMT 2023","135188","","Catalog Navigation","","Sort Lists in Palace","","Sort Lists in Palace",""
"broken","Sat Jun 03 02:52:23 GMT 2023","Sat Jun 03 02:54:16 GMT 2023","113134","","Read EPUB in Palace Bookshelf","","Navigate View options","","Navigate View options",""
"broken","Sat Jun 03 03:41:25 GMT 2023","Sat Jun 03 03:42:49 GMT 2023","84298","","Search libraries and books","","Enter invalid data in book name in Palace","","Enter invalid data in book name in Palace",""
"passed","Sat Jun 03 02:56:05 GMT 2023","Sat Jun 03 02:57:15 GMT 2023","69847","","Manage Libraries","","Settings: Add library: general checks","","Settings: Add library: general checks",""
"passed","Sat Jun 03 03:22:48 GMT 2023","Sat Jun 03 03:23:30 GMT 2023","41828","","Search libraries and books","","Check that library name contains one or more entered latin letters","","Check that library name contains one or more entered latin letters",""
"broken","Sat Jun 03 03:33:58 GMT 2023","Sat Jun 03 03:35:27 GMT 2023","88888","","Search libraries and books","","Find a book with name in different font cases in Palace","","Find a book with name in different font cases in Palace",""
"passed","Sat Jun 03 03:48:46 GMT 2023","Sat Jun 03 03:49:55 GMT 2023","68727","","Search libraries and books","","Check of empty field in LYRASIS","","Check of empty field in LYRASIS",""
"passed","Sat Jun 03 02:27:48 GMT 2023","Sat Jun 03 02:29:40 GMT 2023","112073","","Catalog Navigation","","Check of books availability in LYRASIS","","Check of books availability in LYRASIS",""
"broken","Sat Jun 03 02:03:42 GMT 2023","Sat Jun 03 02:05:16 GMT 2023","93351","","Book detail view screen","","Check of a book format in LYRASIS","","Check of a book format in LYRASIS",""
