"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 21 04:32:53 GMT 2023","Fri Jul 21 04:40:19 GMT 2023","446104","","My books module","","Get a book from Book Detail View and Return from Books in LYRASIS","","Get a book from Book Detail View and Return from Books in LYRASIS",""
"passed","Fri Jul 21 04:20:08 GMT 2023","Fri Jul 21 04:24:14 GMT 2023","245383","","Distributors","","LYRASIS: Biblioboard audiobooks: Check of canceling the downloading from book details view","","LYRASIS: Biblioboard audiobooks: Check of canceling the downloading from book details view",""
"passed","Fri Jul 21 02:43:52 GMT 2023","Fri Jul 21 02:49:41 GMT 2023","349312","","Audiobook in LYRASIS","","Navigate by Audiobook","","Navigate by Audiobook",""
"failed","Fri Jul 21 02:26:39 GMT 2023","Fri Jul 21 02:31:39 GMT 2023","299473","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"failed","Fri Jul 21 02:27:21 GMT 2023","Fri Jul 21 02:34:20 GMT 2023","418849","","Audiobook in LYRASIS","","Open the audiobook at the last open chapter and check time code","","Open the audiobook at the last open chapter and check time code",""
"passed","Fri Jul 21 03:55:50 GMT 2023","Fri Jul 21 04:01:23 GMT 2023","333786","","Audiobook in LYRASIS","","Biblioboard: Check of line for time remaining","","Biblioboard: Check of line for time remaining",""
"broken","Fri Jul 21 04:39:34 GMT 2023","Fri Jul 21 04:44:46 GMT 2023","311793","","Read EPUB in Lyrasis","","Navigate by Page","","Navigate by Page",""
"broken","Fri Jul 21 02:35:24 GMT 2023","Fri Jul 21 02:41:14 GMT 2023","349413","","Audiobooks from Audible studios in LYRASIS","","Check of line for time remaining","","Check of line for time remaining",""
"passed","Fri Jul 21 04:08:42 GMT 2023","Fri Jul 21 04:14:58 GMT 2023","375780","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Fri Jul 21 03:55:14 GMT 2023","Fri Jul 21 04:00:23 GMT 2023","309451","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Fri Jul 21 06:44:31 GMT 2023","Fri Jul 21 06:53:01 GMT 2023","510061","","Audiobook in LYRASIS","","Biblioboard: Playback speed: Check of playback speed","","Biblioboard: Playback speed: Check of playback speed",""
"failed","Fri Jul 21 03:31:55 GMT 2023","Fri Jul 21 03:37:42 GMT 2023","347574","","Audiobook in LYRASIS","","Biblioboard: Check end of chapter sleep timer","","Biblioboard: Check end of chapter sleep timer",""
"failed","Fri Jul 21 03:58:26 GMT 2023","Fri Jul 21 04:03:48 GMT 2023","322042","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"broken","Fri Jul 21 03:31:02 GMT 2023","Fri Jul 21 03:36:05 GMT 2023","303513","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Fri Jul 21 04:27:20 GMT 2023","Fri Jul 21 04:35:53 GMT 2023","512974","","Audiobook in LYRASIS","","Check playback speed and sleep timer","","Check playback speed and sleep timer",""
"broken","Fri Jul 21 04:08:23 GMT 2023","Fri Jul 21 04:15:06 GMT 2023","403561","","Audiobook in LYRASIS","","Check of switching to the next time","","Check of switching to the next time",""
"broken","Fri Jul 21 04:03:48 GMT 2023","Fri Jul 21 04:10:37 GMT 2023","409180","","Read EPUB in Lyrasis","","Font settings: Check of text theme","","Font settings: Check of text theme",""
"failed","Fri Jul 21 05:19:17 GMT 2023","Fri Jul 21 05:25:34 GMT 2023","377055","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"passed","Fri Jul 21 02:18:26 GMT 2023","Fri Jul 21 02:23:40 GMT 2023","313676","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"passed","Fri Jul 21 05:14:21 GMT 2023","Fri Jul 21 05:20:13 GMT 2023","352358","","Audiobook in LYRASIS","","Biblioboard: Check time tracking line","","Biblioboard: Check time tracking line",""
