"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jan 28 15:39:22 GMT 2023","Sat Jan 28 15:44:14 GMT 2023","291169","","Book detail view screen","","Check related books section in LYRASIS","","Check related books section in LYRASIS",""
"passed","Sat Jan 28 15:27:12 GMT 2023","Sat Jan 28 15:28:45 GMT 2023","92431","","Search libraries and books","","Check that books from search result contain one or more entered latin letters or numeric in Palace","","Check that books from search result contain one or more entered latin letters or numeric in Palace",""
"passed","Sat Jan 28 15:19:27 GMT 2023","Sat Jan 28 15:20:14 GMT 2023","47568","","Search libraries and books","","Enter invalid data","","Enter invalid data",""
"passed","Sat Jan 28 15:32:04 GMT 2023","Sat Jan 28 15:33:35 GMT 2023","91341","","Search libraries and books","","Find a book with name in different font cases in Palace","","Find a book with name in different font cases in Palace",""
"broken","Sat Jan 28 14:55:48 GMT 2023","Sat Jan 28 14:58:19 GMT 2023","151385","","Read PDF in Palace Bookshelf on IOS","","Navigate by Page","","Navigate by Page",""
"broken","Sat Jan 28 15:53:15 GMT 2023","Sat Jan 28 15:56:23 GMT 2023","187855","","Book detail view screen","","Check fields in Information section in Palace","","Check fields in Information section in Palace",""
"passed","Sat Jan 28 15:10:42 GMT 2023","Sat Jan 28 15:12:52 GMT 2023","130631","","Manage Libraries","","Logo: Add library: Check of adding a library","","Logo: Add library: Check of adding a library",""
"passed","Sat Jan 28 14:28:04 GMT 2023","Sat Jan 28 14:32:32 GMT 2023","267570","","Read EPUB in Palace Bookshelf","","Navigate by bookmarks","","Navigate by bookmarks",""
"passed","Sat Jan 28 15:47:31 GMT 2023","Sat Jan 28 15:50:34 GMT 2023","182975","","Book detail view screen","","BiblioBoard audiobook: Check related books section in LYRASIS","","BiblioBoard audiobook: Check related books section in LYRASIS",""
"failed","Sat Jan 28 15:31:17 GMT 2023","Sat Jan 28 15:34:39 GMT 2023","201611","","Book detail view screen","","Check related books section in LYRASIS","","Check related books section in LYRASIS",""
