"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Apr 12 13:05:21 GMT 2023","Wed Apr 12 13:09:45 GMT 2023","263434","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"broken","Wed Apr 12 11:50:54 GMT 2023","Wed Apr 12 11:54:42 GMT 2023","227987","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"passed","Wed Apr 12 11:16:36 GMT 2023","Wed Apr 12 11:20:09 GMT 2023","212961","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"passed","Wed Apr 12 13:57:14 GMT 2023","Wed Apr 12 14:01:37 GMT 2023","262969","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"failed","Wed Apr 12 13:00:36 GMT 2023","Wed Apr 12 13:05:21 GMT 2023","284902","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"broken","Wed Apr 12 11:40:27 GMT 2023","Wed Apr 12 11:43:08 GMT 2023","160978","","Read EPUB in Lyrasis","","Font settings: Check of text theme","","Font settings: Check of text theme",""
"failed","Wed Apr 12 11:34:21 GMT 2023","Wed Apr 12 11:39:11 GMT 2023","290334","","Audiobook in LYRASIS","","Biblioboard: Check of switching to the next time","","Biblioboard: Check of switching to the next time",""
"failed","Wed Apr 12 12:53:50 GMT 2023","Wed Apr 12 12:58:07 GMT 2023","256931","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"failed","Wed Apr 12 10:05:12 GMT 2023","Wed Apr 12 10:10:08 GMT 2023","295753","","Audiobook in LYRASIS","","Open the audiobook at the last open chapter and check time code","","Open the audiobook at the last open chapter and check time code",""
"failed","Wed Apr 12 10:17:51 GMT 2023","Wed Apr 12 10:24:31 GMT 2023","399123","","Audiobooks from Audible studios in LYRASIS","","Check of line for time remaining","","Check of line for time remaining",""
"passed","Wed Apr 12 12:03:04 GMT 2023","Wed Apr 12 12:07:33 GMT 2023","268857","","My books module","","Get a book from Subcategory List View and Return from Subcategory List View in LYRASIS","","Get a book from Subcategory List View and Return from Subcategory List View in LYRASIS",""
