"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jan 22 21:43:14 GMT 2023","Sun Jan 22 21:46:08 GMT 2023","174074","","Book detail view screen","","Check related books section in LYRASIS","","Check related books section in LYRASIS",""
"passed","Sun Jan 22 22:05:56 GMT 2023","Sun Jan 22 22:07:32 GMT 2023","95395","","Book detail view screen","","Check of a book title and author in Overdrive","","Check of a book title and author in Overdrive",""
"passed","Sun Jan 22 22:13:14 GMT 2023","Sun Jan 22 22:13:53 GMT 2023","38876","","Search libraries and books","","Enter invalid data","","Enter invalid data",""
"failed","Sun Jan 22 21:07:32 GMT 2023","Sun Jan 22 21:08:58 GMT 2023","85956","","Catalog Navigation","","Sort Lists in LYRASIS","","Sort Lists in LYRASIS",""
"passed","Sun Jan 22 21:58:46 GMT 2023","Sun Jan 22 22:01:51 GMT 2023","184698","","Manage Libraries","","Settings: Add Library: Check of the added libraries sorting","","Settings: Add Library: Check of the added libraries sorting",""
"broken","Sun Jan 22 22:01:51 GMT 2023","Sun Jan 22 22:03:40 GMT 2023","109334","","Manage Libraries","","Settings: Libraries: Remove library","","Settings: Libraries: Remove library",""
"passed","Sun Jan 22 21:23:22 GMT 2023","Sun Jan 22 21:26:30 GMT 2023","187802","","Read EPUB in Palace Bookshelf","","Navigate by Table of Contents Menu","","Navigate by Table of Contents Menu",""
"broken","Sun Jan 22 21:38:31 GMT 2023","Sun Jan 22 21:41:22 GMT 2023","170909","","Read EPUB in Palace Bookshelf","","Font settings: Check of text theme","","Font settings: Check of text theme",""
"failed","Sun Jan 22 22:29:07 GMT 2023","Sun Jan 22 22:30:43 GMT 2023","95444","","Search libraries and books","","Enter invalid data in book name in Palace","","Enter invalid data in book name in Palace",""
"passed","Sun Jan 22 21:30:44 GMT 2023","Sun Jan 22 21:32:50 GMT 2023","126918","","Book detail view screen","","Check fields in Information section in LYRASIS","","Check fields in Information section in LYRASIS",""
"broken","Sun Jan 22 22:06:47 GMT 2023","Sun Jan 22 22:08:50 GMT 2023","123971","","Read PDF in Palace Bookshelf on IOS","","Navigate by pdf bookmarks","","Navigate by pdf bookmarks",""
"passed","Sun Jan 22 22:11:48 GMT 2023","Sun Jan 22 22:12:29 GMT 2023","41082","","Search libraries and books","","Enter invalid data","","Enter invalid data",""
"broken","Sun Jan 22 22:04:16 GMT 2023","Sun Jan 22 22:06:46 GMT 2023","150029","","Read PDF in Palace Bookshelf on IOS","","Navigate by Page slider","","Navigate by Page slider",""
"broken","Sun Jan 22 21:12:55 GMT 2023","Sun Jan 22 21:18:05 GMT 2023","310404","","Read EPUB from Overdrive in A1QA","","Epub: Font settings: Check of increasing and reducing the text size","","Epub: Font settings: Check of increasing and reducing the text size",""
"broken","Sun Jan 22 22:10:56 GMT 2023","Sun Jan 22 22:13:04 GMT 2023","128340","","Read PDF in Palace Bookshelf on IOS","","Navigate by Chapters","","Navigate by Chapters",""
"passed","Sun Jan 22 22:20:23 GMT 2023","Sun Jan 22 22:21:30 GMT 2023","66283","","Search libraries and books","","Find a book with name in different font cases in Palace","","Find a book with name in different font cases in Palace",""
"broken","Sun Jan 22 21:51:26 GMT 2023","Sun Jan 22 21:52:34 GMT 2023","67851","","My books module","","Check of added books in Palace","","Check of added books in Palace",""
"passed","Sun Jan 22 21:26:26 GMT 2023","Sun Jan 22 21:28:36 GMT 2023","129793","","Book detail view screen","","Check fields in Information section in LYRASIS","","Check fields in Information section in LYRASIS",""
