"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Sep 30 20:41:38 GMT 2023","Sat Sep 30 20:43:00 GMT 2023","81436","","Search libraries and books","","Check the possibility of editing data in search field in LYRASIS ANDROID","","Check the possibility of editing data in search field in LYRASIS ANDROID",""
"passed","Sat Sep 30 21:01:59 GMT 2023","Sat Sep 30 21:03:18 GMT 2023","78231","","Search libraries and books","","Enter invalid data in book name in LYRASIS","","Enter invalid data in book name in LYRASIS",""
"failed","Sat Sep 30 20:55:31 GMT 2023","Sat Sep 30 20:56:49 GMT 2023","78304","","Search libraries and books","","Find a book with name in different font cases in LYRASIS","","Find a book with name in different font cases in LYRASIS",""
"passed","Sat Sep 30 18:29:52 GMT 2023","Sat Sep 30 18:31:52 GMT 2023","120264","","Books transactions in Palace Bookshelf","","Get a book from Subcategory List View and Read from Subcategory List View (ANDROID)","","Get a book from Subcategory List View and Read from Subcategory List View (ANDROID)",""
"failed","Sat Sep 30 19:28:21 GMT 2023","Sat Sep 30 19:38:20 GMT 2023","599075","","Read EPUB from Overdrive in A1QA","","Epub: Font settings: Check of text theme","","Epub: Font settings: Check of text theme",""
"passed","Sat Sep 30 20:08:17 GMT 2023","Sat Sep 30 20:11:03 GMT 2023","165896","","Manage Libraries","","Logo: Switch library","","Logo: Switch library",""
"passed","Sat Sep 30 20:22:43 GMT 2023","Sat Sep 30 20:23:39 GMT 2023","55164","","Search libraries and books","","Enter invalid data","","Enter invalid data",""
"failed","Sat Sep 30 19:17:20 GMT 2023","Sat Sep 30 19:24:18 GMT 2023","417908","","Audiobooks in A1QA library","","Audiobooks: Check of not rewinding forward and back by tapping on time bar","","Audiobooks: Check of not rewinding forward and back by tapping on time bar",""
"broken","Sat Sep 30 18:42:33 GMT 2023","Sat Sep 30 18:44:43 GMT 2023","129649","","Book detail view screen","","Check of a book format in LYRASIS","","Check of a book format in LYRASIS",""
"passed","Sat Sep 30 20:13:00 GMT 2023","Sat Sep 30 20:13:56 GMT 2023","55287","","Search libraries and books","","Find a library and delete it","","Find a library and delete it",""
"failed","Sat Sep 30 19:24:18 GMT 2023","Sat Sep 30 19:29:45 GMT 2023","326943","","Audiobooks in A1QA library","","Audiobooks: Playback speed: Check of playback speed","","Audiobooks: Playback speed: Check of playback speed",""
"passed","Sat Sep 30 20:40:22 GMT 2023","Sat Sep 30 20:41:38 GMT 2023","76435","","Search libraries and books","","Check a placeholder in LYRASIS","","Check a placeholder in LYRASIS",""
"broken","Sat Sep 30 18:34:41 GMT 2023","Sat Sep 30 18:36:57 GMT 2023","135786","","Book detail view screen","","Check of a book title and author in LYRASIS","","Check of a book title and author in LYRASIS",""
"broken","Sat Sep 30 20:06:13 GMT 2023","Sat Sep 30 20:08:29 GMT 2023","135856","","Read PDF in Palace Bookshelf on Android","","TOC: Contents with thumbnails: Check of Contents list and navigation Palace","","TOC: Contents with thumbnails: Check of Contents list and navigation Palace",""
"failed","Sat Sep 30 20:14:50 GMT 2023","Sat Sep 30 20:15:38 GMT 2023","47706","","Search libraries and books","","Check that library name contains one or more entered latin letters","","Check that library name contains one or more entered latin letters",""
"failed","Sat Sep 30 20:03:08 GMT 2023","Sat Sep 30 20:05:50 GMT 2023","162638","","Book detail view screen","","Check related books section in Overdrive","","Check related books section in Overdrive",""
"passed","Sat Sep 30 19:50:02 GMT 2023","Sat Sep 30 19:51:20 GMT 2023","78752","","Manage Libraries","","Settings: Add library: general checks","","Settings: Add library: general checks",""
"passed","Sat Sep 30 20:17:34 GMT 2023","Sat Sep 30 20:18:40 GMT 2023","65419","","Check sections from settings screen","","Software Licenses","","Software Licenses",""
"broken","Sat Sep 30 19:50:59 GMT 2023","Sat Sep 30 19:53:10 GMT 2023","131271","","Book detail view screen","","Check fields in Information section in Palace","","Check fields in Information section in Palace",""
"broken","Sat Sep 30 19:26:58 GMT 2023","Sat Sep 30 19:28:39 GMT 2023","101359","","Book detail view screen","","Check fields in Information section in LYRASIS","","Check fields in Information section in LYRASIS",""
"broken","Sat Sep 30 19:40:11 GMT 2023","Sat Sep 30 19:42:27 GMT 2023","136314","","Read EPUB in Palace Bookshelf","","Delete bookmarks","","Delete bookmarks",""
"broken","Sat Sep 30 20:08:29 GMT 2023","Sat Sep 30 20:10:44 GMT 2023","135450","","Read PDF in Palace Bookshelf on Android","","TOC: Contents with text: Check of list of chapters and navigation Palace","","TOC: Contents with text: Check of list of chapters and navigation Palace",""
"failed","Sat Sep 30 20:54:02 GMT 2023","Sat Sep 30 20:55:31 GMT 2023","89005","","Search libraries and books","","Find a book with name in different font cases in LYRASIS","","Find a book with name in different font cases in LYRASIS",""
"broken","Sat Sep 30 19:16:19 GMT 2023","Sat Sep 30 19:18:28 GMT 2023","129598","","Book detail view screen","","Check fields in Information section in LYRASIS","","Check fields in Information section in LYRASIS",""
"broken","Sat Sep 30 19:43:31 GMT 2023","Sat Sep 30 19:45:18 GMT 2023","107682","","Book detail view screen","","Check related books section in LYRASIS","","Check related books section in LYRASIS",""
"passed","Sat Sep 30 20:15:38 GMT 2023","Sat Sep 30 20:16:52 GMT 2023","74292","","Search libraries and books","","Check that library name contains one or more entered latin letters","","Check that library name contains one or more entered latin letters",""
"passed","Sat Sep 30 20:32:44 GMT 2023","Sat Sep 30 20:34:04 GMT 2023","79386","","Search libraries and books","","Find a book with name in different font cases in Palace","","Find a book with name in different font cases in Palace",""
"broken","Sat Sep 30 19:28:40 GMT 2023","Sat Sep 30 19:30:23 GMT 2023","103724","","Book detail view screen","","Biblioboard audiobook: Check fields in Information section in LYRASIS","","Biblioboard audiobook: Check fields in Information section in LYRASIS",""
"passed","Sat Sep 30 20:04:38 GMT 2023","Sat Sep 30 20:08:17 GMT 2023","218993","","Manage Libraries","","Logo: Add Library: Check of sorting libraries","","Logo: Add Library: Check of sorting libraries",""
"passed","Sat Sep 30 18:28:02 GMT 2023","Sat Sep 30 18:29:52 GMT 2023","110234","","Books transactions in Palace Bookshelf","","Get a book from Subcategory List View and Return from Subcategory List View (ANDROID)","","Get a book from Subcategory List View and Return from Subcategory List View (ANDROID)",""
"broken","Sat Sep 30 18:53:15 GMT 2023","Sat Sep 30 18:55:24 GMT 2023","129585","","Book detail view screen","","Check of a book format in LYRASIS","","Check of a book format in LYRASIS",""
"passed","Sat Sep 30 19:53:16 GMT 2023","Sat Sep 30 19:54:57 GMT 2023","101323","","Menu Bar","","Check of the tabs in Palace","","Check of the tabs in Palace",""
"failed","Sat Sep 30 18:57:56 GMT 2023","Sat Sep 30 19:00:02 GMT 2023","125349","","Catalog Navigation","","Check of books sorting in LYRASIS","","Check of books sorting in LYRASIS",""
"broken","Sat Sep 30 20:12:35 GMT 2023","Sat Sep 30 20:14:46 GMT 2023","130930","","Book detail view screen","","Get: Sign in: Check of loging in with leaving the Password field empty","","Get: Sign in: Check of loging in with leaving the Password field empty",""
"passed","Sat Sep 30 20:56:49 GMT 2023","Sat Sep 30 20:58:04 GMT 2023","74967","","Search libraries and books","","Enter invalid data in book name in LYRASIS","","Enter invalid data in book name in LYRASIS",""
"failed","Sat Sep 30 19:46:47 GMT 2023","Sat Sep 30 19:52:15 GMT 2023","328536","","Audiobooks in A1QA library","","Audiobooks: Playback speed: Check of playback speed","","Audiobooks: Playback speed: Check of playback speed",""
"broken","Sat Sep 30 18:53:03 GMT 2023","Sat Sep 30 18:54:48 GMT 2023","105502","","Catalog Navigation","","Check of tabs at the top of the screen in LYRASIS","","Check of tabs at the top of the screen in LYRASIS",""
"failed","Sat Sep 30 18:36:10 GMT 2023","Sat Sep 30 18:43:17 GMT 2023","426611","","Audiobooks in A1QA library","","Audiobooks: Navigate by Audiobook","","Audiobooks: Navigate by Audiobook",""
