"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 21 19:43:09 GMT 2022","Wed Dec 21 19:46:43 GMT 2022","213922","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Wed Dec 21 20:26:13 GMT 2022","Wed Dec 21 20:31:07 GMT 2022","293982","","Audiobook in Lyrasis","","Check of file numbers","","Check of file numbers",""
"broken","Wed Dec 21 19:38:52 GMT 2022","Wed Dec 21 19:43:09 GMT 2022","256604","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Wed Dec 21 19:23:30 GMT 2022","Wed Dec 21 19:26:50 GMT 2022","199494","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"broken","Wed Dec 21 20:04:56 GMT 2022","Wed Dec 21 20:08:45 GMT 2022","229620","","Audiobook in Lyrasis","","Check of switching to the next time","","Check of switching to the next time",""
"broken","Wed Dec 21 20:04:55 GMT 2022","Wed Dec 21 20:08:06 GMT 2022","190989","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Wed Dec 21 20:08:06 GMT 2022","Wed Dec 21 20:12:17 GMT 2022","251115","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Wed Dec 21 21:26:49 GMT 2022","Wed Dec 21 21:30:13 GMT 2022","203539","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Dec 21 21:30:13 GMT 2022","Wed Dec 21 21:33:23 GMT 2022","190155","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Dec 21 19:57:35 GMT 2022","Wed Dec 21 19:58:42 GMT 2022","66820","","Read PDF in LYRASIS Reads on Android","","TOC: Contents with thumbnails: Check of Contents list and navigation in Lyrasis","","TOC: Contents with thumbnails: Check of Contents list and navigation in Lyrasis",""
"broken","Wed Dec 21 21:33:23 GMT 2022","Wed Dec 21 21:36:39 GMT 2022","196683","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Dec 21 19:22:16 GMT 2022","Wed Dec 21 19:26:33 GMT 2022","256578","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"passed","Wed Dec 21 19:17:14 GMT 2022","Wed Dec 21 19:19:40 GMT 2022","146059","","Manage Libraries","","Store library card","","Store library card",""
"broken","Wed Dec 21 19:39:07 GMT 2022","Wed Dec 21 19:42:23 GMT 2022","195236","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"broken","Wed Dec 21 20:49:58 GMT 2022","Wed Dec 21 20:53:16 GMT 2022","197211","","Audiobook in Lyrasis","","Check time tracking line","","Check time tracking line",""
"broken","Wed Dec 21 20:00:39 GMT 2022","Wed Dec 21 20:04:55 GMT 2022","255540","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Wed Dec 21 19:24:02 GMT 2022","Wed Dec 21 19:27:18 GMT 2022","196102","","Audiobook in Lyrasis","","Open the audiobook at the last open chapter and check time code","","Open the audiobook at the last open chapter and check time code",""
