"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 09 16:26:55 GMT 2023","Thu Feb 09 16:29:42 GMT 2023","166420","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"broken","Thu Feb 09 17:44:53 GMT 2023","Thu Feb 09 17:49:13 GMT 2023","259889","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"failed","Thu Feb 09 17:57:16 GMT 2023","Thu Feb 09 18:02:24 GMT 2023","307636","","My books module","","Get a book from Subcategory List View and Return from Books in LYRASIS","","Get a book from Subcategory List View and Return from Books in LYRASIS",""
"broken","Thu Feb 09 17:19:19 GMT 2023","Thu Feb 09 17:24:01 GMT 2023","282388","","Audiobook in Lyrasis","","Check of line for time remaining","","Check of line for time remaining",""
"broken","Thu Feb 09 19:30:13 GMT 2023","Thu Feb 09 19:33:13 GMT 2023","179598","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"passed","Thu Feb 09 19:41:37 GMT 2023","Thu Feb 09 19:45:52 GMT 2023","255063","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"broken","Thu Feb 09 18:07:04 GMT 2023","Thu Feb 09 18:12:07 GMT 2023","303187","","My books module","","Get a book from Subcategory List View and Read from Books in LYRASIS","","Get a book from Subcategory List View and Read from Books in LYRASIS",""
"broken","Thu Feb 09 17:22:20 GMT 2023","Thu Feb 09 17:26:19 GMT 2023","239001","","Read EPUB in Lyrasis","","Navigate by bookmarks","","Navigate by bookmarks",""
"failed","Thu Feb 09 19:13:38 GMT 2023","Thu Feb 09 19:19:00 GMT 2023","321847","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Thu Feb 09 18:36:51 GMT 2023","Thu Feb 09 18:41:21 GMT 2023","270492","","Audiobook in Lyrasis","","Check of not rewinding forward and back by tapping on time bar","","Check of not rewinding forward and back by tapping on time bar",""
"failed","Thu Feb 09 18:49:58 GMT 2023","Thu Feb 09 18:54:27 GMT 2023","269795","","Read PDF in LYRARIS Reads on IOS","","Check invalid data in searching Lyrasis","","Check invalid data in searching Lyrasis",""
"failed","Thu Feb 09 18:11:59 GMT 2023","Thu Feb 09 18:17:08 GMT 2023","308650","","Audiobook in Lyrasis","","Check time tracking line","","Check time tracking line",""
"passed","Thu Feb 09 17:20:53 GMT 2023","Thu Feb 09 17:24:34 GMT 2023","220740","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"failed","Thu Feb 09 17:55:12 GMT 2023","Thu Feb 09 17:59:12 GMT 2023","239829","","Read PDF in LYRARIS Reads on IOS","","Navigate by Page Lyrasis","","Navigate by Page Lyrasis",""
"failed","Thu Feb 09 18:41:21 GMT 2023","Thu Feb 09 18:46:06 GMT 2023","284914","","Audiobook in Lyrasis","","Check of not rewinding forward and back by tapping on time bar","","Check of not rewinding forward and back by tapping on time bar",""
"failed","Thu Feb 09 18:13:54 GMT 2023","Thu Feb 09 18:18:48 GMT 2023","294182","","Read PDF in LYRARIS Reads on IOS","","Navigate by Pdf Search Results Lyrasis","","Navigate by Pdf Search Results Lyrasis",""
"broken","Thu Feb 09 19:38:48 GMT 2023","Thu Feb 09 19:41:37 GMT 2023","169843","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"passed","Thu Feb 09 18:26:14 GMT 2023","Thu Feb 09 18:30:29 GMT 2023","254370","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"broken","Thu Feb 09 17:47:27 GMT 2023","Thu Feb 09 17:51:06 GMT 2023","218979","","Manage Libraries","","Switch Library Reservations","","Switch Library Reservations",""
"broken","Thu Feb 09 18:18:48 GMT 2023","Thu Feb 09 18:24:23 GMT 2023","334808","","Read PDF in LYRARIS Reads on IOS","","Navigate by Page slider Lyrasis","","Navigate by Page slider Lyrasis",""
