"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 06 13:20:11 GMT 2023","Fri Jan 06 13:27:37 GMT 2023","446448","","Read PDF in LYRARIS Reads on IOS","","Check valid data in searching Lyrasis","","Check valid data in searching Lyrasis",""
"broken","Fri Jan 06 10:41:40 GMT 2023","Fri Jan 06 10:50:24 GMT 2023","523644","","Read EPUB in Lyrasis","","Font settings: Check of text theme","","Font settings: Check of text theme",""
"failed","Fri Jan 06 10:06:04 GMT 2023","Fri Jan 06 10:12:07 GMT 2023","362862","","My books module","","Get a book from Subcategory List View and Return from Books in LYRASIS","","Get a book from Subcategory List View and Return from Books in LYRASIS",""
"failed","Fri Jan 06 09:54:51 GMT 2023","Fri Jan 06 10:01:19 GMT 2023","387760","","Audiobook in Lyrasis","","Open the audiobook at the last open chapter and check time code","","Open the audiobook at the last open chapter and check time code",""
"passed","Fri Jan 06 10:41:05 GMT 2023","Fri Jan 06 10:47:59 GMT 2023","413985","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"failed","Fri Jan 06 10:25:30 GMT 2023","Fri Jan 06 10:30:22 GMT 2023","292532","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"failed","Fri Jan 06 11:42:48 GMT 2023","Fri Jan 06 11:50:34 GMT 2023","465796","","Audiobook in Lyrasis","","Check of switching to the next time","","Check of switching to the next time",""
"broken","Fri Jan 06 11:52:36 GMT 2023","Fri Jan 06 11:56:41 GMT 2023","245312","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"passed","Fri Jan 06 14:12:25 GMT 2023","Fri Jan 06 14:20:00 GMT 2023","455046","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Fri Jan 06 10:30:27 GMT 2023","Fri Jan 06 10:35:01 GMT 2023","273566","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"failed","Fri Jan 06 10:47:59 GMT 2023","Fri Jan 06 10:54:47 GMT 2023","407415","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"failed","Fri Jan 06 12:40:41 GMT 2023","Fri Jan 06 12:48:17 GMT 2023","456452","","Audiobook in Lyrasis","","Check time tracking line","","Check time tracking line",""
