"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 03 10:35:26 GMT 2023","Mon Jul 03 10:38:47 GMT 2023","201736","","Audiobooks in A1QA library","","Audiobooks: Check of line for time remaining","","Audiobooks: Check of line for time remaining",""
"passed","Mon Jul 03 10:46:18 GMT 2023","Mon Jul 03 10:48:24 GMT 2023","125482","","Book detail view screen","","Check of a book format in LYRASIS","","Check of a book format in LYRASIS",""
"passed","Mon Jul 03 10:44:09 GMT 2023","Mon Jul 03 10:45:36 GMT 2023","86863","","Catalog Navigation","","Check of the titles of books sections in Palace","","Check of the titles of books sections in Palace",""
"passed","Mon Jul 03 12:20:57 GMT 2023","Mon Jul 03 12:21:43 GMT 2023","45644","","Search libraries and books","","Enter invalid data","","Enter invalid data",""
"passed","Mon Jul 03 12:47:51 GMT 2023","Mon Jul 03 12:48:51 GMT 2023","60362","","Search libraries and books","","Find a book with name in different font cases in LYRASIS","","Find a book with name in different font cases in LYRASIS",""
"broken","Mon Jul 03 12:19:34 GMT 2023","Mon Jul 03 12:22:01 GMT 2023","146776","","Book detail view screen","","Get: Sign in: Library card: Check of less than minimum allowed or more than maximum characters","","Get: Sign in: Library card: Check of less than minimum allowed or more than maximum characters",""
"failed","Mon Jul 03 11:32:07 GMT 2023","Mon Jul 03 11:34:24 GMT 2023","137886","","Book detail view screen","","Check related books section in LYRASIS","","Check related books section in LYRASIS",""
"passed","Mon Jul 03 11:23:02 GMT 2023","Mon Jul 03 11:25:18 GMT 2023","136077","","Book detail view screen","","Check fields in Information section in LYRASIS","","Check fields in Information section in LYRASIS",""
"passed","Mon Jul 03 11:48:24 GMT 2023","Mon Jul 03 11:51:37 GMT 2023","192600","","Read PDF in Palace Bookshelf on IOS","","Navigate by Page","","Navigate by Page",""
"passed","Mon Jul 03 12:32:18 GMT 2023","Mon Jul 03 12:33:18 GMT 2023","59882","","Search libraries and books","","Enter invalid data in book name in Palace","","Enter invalid data in book name in Palace",""
"passed","Mon Jul 03 11:06:04 GMT 2023","Mon Jul 03 11:08:24 GMT 2023","139329","","Book detail view screen","","Check of a ""More..."" button in Description section in LYRASIS","","Check of a ""More..."" button in Description section in LYRASIS",""
"failed","Mon Jul 03 10:30:25 GMT 2023","Mon Jul 03 10:32:41 GMT 2023","136108","","Books transactions in Palace Bookshelf","","Get a book from Subcategory List View and Return from Books (IOS)","","Get a book from Subcategory List View and Return from Books (IOS)",""
"failed","Mon Jul 03 11:33:25 GMT 2023","Mon Jul 03 11:35:46 GMT 2023","141097","","Read EPUB in Palace Bookshelf","","Font settings: Check of font style","","Font settings: Check of font style",""
"broken","Mon Jul 03 10:53:39 GMT 2023","Mon Jul 03 10:55:48 GMT 2023","129042","","Audiobooks in A1QA library","","Audiobooks: Playback speed: Check of playback speed","","Audiobooks: Playback speed: Check of playback speed",""
"failed","Mon Jul 03 11:25:18 GMT 2023","Mon Jul 03 11:27:46 GMT 2023","147364","","Book detail view screen","","Check fields in Information section in LYRASIS","","Check fields in Information section in LYRASIS",""
"failed","Mon Jul 03 12:38:01 GMT 2023","Mon Jul 03 12:38:59 GMT 2023","58187","","Search libraries and books","","Check the possibility of editing data in search field in LYRASIS IOS","","Check the possibility of editing data in search field in LYRASIS IOS",""
"broken","Mon Jul 03 11:54:39 GMT 2023","Mon Jul 03 11:57:20 GMT 2023","160319","","Read PDF in Palace Bookshelf on IOS","","Navigate by Thumbnails","","Navigate by Thumbnails",""
"passed","Mon Jul 03 12:06:15 GMT 2023","Mon Jul 03 12:08:43 GMT 2023","148527","","Read PDF in Palace Bookshelf on IOS","","Check table of contents","","Check table of contents",""
"passed","Mon Jul 03 11:15:05 GMT 2023","Mon Jul 03 11:17:27 GMT 2023","142127","","Book detail view screen","","Check fields in Information section in LYRASIS","","Check fields in Information section in LYRASIS",""
"failed","Mon Jul 03 12:06:04 GMT 2023","Mon Jul 03 12:08:25 GMT 2023","140969","","Feed","","Update Bookshelf List (IOS)","","Update Bookshelf List (IOS)",""
"failed","Mon Jul 03 11:40:07 GMT 2023","Mon Jul 03 11:42:24 GMT 2023","137317","","Book detail view screen","","Check related books section in LYRASIS","","Check related books section in LYRASIS",""
"passed","Mon Jul 03 12:39:55 GMT 2023","Mon Jul 03 12:40:52 GMT 2023","57067","","Search libraries and books","","Check of only spaces input in LYRASIS","","Check of only spaces input in LYRASIS",""
"passed","Mon Jul 03 12:21:50 GMT 2023","Mon Jul 03 12:22:48 GMT 2023","58307","","Check sections from settings screen","","Software Licenses","","Software Licenses",""
"broken","Mon Jul 03 11:02:56 GMT 2023","Mon Jul 03 11:07:20 GMT 2023","264170","","Audiobooks in A1QA library","","Audiobooks: Playback speed: Check of playback speed","","Audiobooks: Playback speed: Check of playback speed",""
"failed","Mon Jul 03 12:03:40 GMT 2023","Mon Jul 03 12:06:15 GMT 2023","154192","","Read PDF in Palace Bookshelf on IOS","","Navigate by pdf bookmarks","","Navigate by pdf bookmarks",""
"passed","Mon Jul 03 12:20:13 GMT 2023","Mon Jul 03 12:20:57 GMT 2023","44008","","Search libraries and books","","Check that library name contains one or more entered latin letters","","Check that library name contains one or more entered latin letters",""
"failed","Mon Jul 03 12:25:34 GMT 2023","Mon Jul 03 12:26:33 GMT 2023","59178","","Search libraries and books","","Find a book in Palace","","Find a book in Palace",""
"broken","Mon Jul 03 11:46:16 GMT 2023","Mon Jul 03 11:48:24 GMT 2023","127979","","My books module","","Check of sorting in Palace","","Check of sorting in Palace",""
"broken","Mon Jul 03 11:27:39 GMT 2023","Mon Jul 03 11:32:31 GMT 2023","292372","","Read EPUB from Overdrive in A1QA","","Epub: Navigate by bookmarks","","Epub: Navigate by bookmarks",""
"failed","Mon Jul 03 10:50:33 GMT 2023","Mon Jul 03 10:52:40 GMT 2023","126861","","Book detail view screen","","Check of a book format in LYRASIS","","Check of a book format in LYRASIS",""
"broken","Mon Jul 03 11:17:27 GMT 2023","Mon Jul 03 11:18:28 GMT 2023","60463","","Book detail view screen","","Check fields in Information section in LYRASIS","","Check fields in Information section in LYRASIS",""
"broken","Mon Jul 03 10:45:19 GMT 2023","Mon Jul 03 10:46:18 GMT 2023","59442","","Book detail view screen","","Check of a book format in LYRASIS","","Check of a book format in LYRASIS",""
"passed","Mon Jul 03 10:36:49 GMT 2023","Mon Jul 03 10:38:59 GMT 2023","130095","","Book detail view screen","","Check of a book title and author in LYRASIS","","Check of a book title and author in LYRASIS",""
"broken","Mon Jul 03 11:56:21 GMT 2023","Mon Jul 03 11:58:28 GMT 2023","127559","","Manage Libraries","","Switch library bookshelf (IOS)","","Switch library bookshelf (IOS)",""
"failed","Mon Jul 03 11:57:20 GMT 2023","Mon Jul 03 11:59:07 GMT 2023","107195","","Read PDF in Palace Bookshelf on IOS","","Search Pdf Functionality","","Search Pdf Functionality",""
"passed","Mon Jul 03 12:22:48 GMT 2023","Mon Jul 03 12:23:52 GMT 2023","63507","","Check sections from settings screen","","Settings: User License Agreement","","Settings: User License Agreement",""
"passed","Mon Jul 03 12:18:36 GMT 2023","Mon Jul 03 12:19:33 GMT 2023","56869","","Check sections from settings screen","","Privacy Policy","","Privacy Policy",""
"passed","Mon Jul 03 12:31:23 GMT 2023","Mon Jul 03 12:32:18 GMT 2023","55745","","Search libraries and books","","Find a book with name in different font cases in Palace","","Find a book with name in different font cases in Palace",""
"passed","Mon Jul 03 10:27:12 GMT 2023","Mon Jul 03 10:29:22 GMT 2023","130154","","Book detail view screen","","Check of a book title and author in LYRASIS","","Check of a book title and author in LYRASIS",""
"passed","Mon Jul 03 12:38:59 GMT 2023","Mon Jul 03 12:39:55 GMT 2023","55205","","Search libraries and books","","Check of empty field in LYRASIS","","Check of empty field in LYRASIS",""
"passed","Mon Jul 03 11:44:33 GMT 2023","Mon Jul 03 11:46:16 GMT 2023","103612","","My books module","","Check of added books in Palace","","Check of added books in Palace",""
"passed","Mon Jul 03 12:45:50 GMT 2023","Mon Jul 03 12:46:52 GMT 2023","62079","","Search libraries and books","","Check that books from search result contain one or more entered latin letters or numeric in LYRASIS","","Check that books from search result contain one or more entered latin letters or numeric in LYRASIS",""
"passed","Mon Jul 03 11:43:23 GMT 2023","Mon Jul 03 11:44:33 GMT 2023","69289","","Menu Bar","","Check of the tabs in LYRASIS","","Check of the tabs in LYRASIS",""
"broken","Mon Jul 03 12:01:50 GMT 2023","Mon Jul 03 12:03:17 GMT 2023","86991","","Book detail view screen","","Check of Get button before log in from the Settings tab in LYRASIS Reads","","Check of Get button before log in from the Settings tab in LYRASIS Reads",""
"passed","Mon Jul 03 12:19:33 GMT 2023","Mon Jul 03 12:21:50 GMT 2023","137369","","Check sections from settings screen","","User Agreement","","User Agreement",""
"passed","Mon Jul 03 11:48:40 GMT 2023","Mon Jul 03 11:49:58 GMT 2023","78324","","Book detail view screen","","Check of a ""More..."" button in Description section in Palace","","Check of a ""More..."" button in Description section in Palace",""
"failed","Mon Jul 03 10:48:24 GMT 2023","Mon Jul 03 10:50:33 GMT 2023","129128","","Book detail view screen","","Check of a book format in LYRASIS","","Check of a book format in LYRASIS",""
"broken","Mon Jul 03 10:54:26 GMT 2023","Mon Jul 03 10:55:33 GMT 2023","66203","","Catalog Navigation","","Check of ""More"" button in books sections in LYRASIS","","Check of ""More"" button in books sections in LYRASIS",""
"broken","Mon Jul 03 10:38:47 GMT 2023","Mon Jul 03 10:41:27 GMT 2023","159835","","Audiobooks in A1QA library","","Audiobooks: Check of switching to the next chapter","","Audiobooks: Check of switching to the next chapter",""
"passed","Mon Jul 03 12:43:51 GMT 2023","Mon Jul 03 12:44:52 GMT 2023","61053","","Search libraries and books","","Check that books from search result contain one or more entered latin letters or numeric in LYRASIS","","Check that books from search result contain one or more entered latin letters or numeric in LYRASIS",""
"broken","Mon Jul 03 11:35:21 GMT 2023","Mon Jul 03 11:48:22 GMT 2023","781010","","Manage Libraries","","Settings: Add library: general checks","","Settings: Add library: general checks",""
"broken","Mon Jul 03 10:45:36 GMT 2023","Mon Jul 03 10:46:47 GMT 2023","71142","","Catalog Navigation","","Check of ""More"" button in books sections in Palace","","Check of ""More"" button in books sections in Palace",""
"passed","Mon Jul 03 11:01:20 GMT 2023","Mon Jul 03 11:02:43 GMT 2023","82467","","Catalog Navigation","","Check of books collections","","Check of books collections",""
