"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 26 04:33:55 GMT 2023","Sat Aug 26 04:39:39 GMT 2023","343612","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"failed","Sat Aug 26 04:44:36 GMT 2023","Sat Aug 26 04:48:50 GMT 2023","253710","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"passed","Sat Aug 26 04:28:05 GMT 2023","Sat Aug 26 04:33:55 GMT 2023","350460","","My books module","","Get a book from Subcategory List View and Read from Books in LYRASIS","","Get a book from Subcategory List View and Read from Books in LYRASIS",""
"broken","Sat Aug 26 04:52:10 GMT 2023","Sat Aug 26 04:58:19 GMT 2023","368453","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"passed","Sat Aug 26 04:13:39 GMT 2023","Sat Aug 26 04:15:30 GMT 2023","111022","","Manage Libraries","","Store library card","","Store library card",""
"broken","Sat Aug 26 04:48:50 GMT 2023","Sat Aug 26 04:53:41 GMT 2023","291234","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"broken","Sat Aug 26 02:28:31 GMT 2023","Sat Aug 26 02:33:18 GMT 2023","286894","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"passed","Sat Aug 26 04:39:39 GMT 2023","Sat Aug 26 04:44:36 GMT 2023","297284","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"failed","Sat Aug 26 03:31:01 GMT 2023","Sat Aug 26 03:36:12 GMT 2023","310974","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Sat Aug 26 02:03:34 GMT 2023","Sat Aug 26 02:11:27 GMT 2023","472963","","Audiobook in LYRASIS","","Check end of chapter sleep timer","","Check end of chapter sleep timer",""
"passed","Sat Aug 26 05:04:55 GMT 2023","Sat Aug 26 05:11:53 GMT 2023","417972","","Audiobook in LYRASIS","","Biblioboard: Playback speed: Check of playback speed","","Biblioboard: Playback speed: Check of playback speed",""
"passed","Sat Aug 26 05:47:57 GMT 2023","Sat Aug 26 05:53:18 GMT 2023","320844","","Audiobook in LYRASIS","","TOC: Check of table of contents","","TOC: Check of table of contents",""
"broken","Sat Aug 26 02:40:37 GMT 2023","Sat Aug 26 02:46:06 GMT 2023","328560","","Audiobooks from Audible studios in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
