"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Sep 11 02:24:25 GMT 2023","Mon Sep 11 02:34:40 GMT 2023","614904","","Audiobook in LYRASIS","","Biblioboard: Check end of chapter sleep timer","","Biblioboard: Check end of chapter sleep timer",""
"broken","Mon Sep 11 02:37:50 GMT 2023","Mon Sep 11 02:48:08 GMT 2023","618110","","Audiobooks from Audible studios in LYRASIS","","Check time tracking line","","Check time tracking line",""
"broken","Mon Sep 11 03:41:24 GMT 2023","Mon Sep 11 03:48:40 GMT 2023","436643","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Mon Sep 11 02:21:44 GMT 2023","Mon Sep 11 02:30:36 GMT 2023","532433","","Audiobooks from Audible studios in LYRASIS","","Check of switching to the next time","","Check of switching to the next time",""
"broken","Mon Sep 11 03:03:55 GMT 2023","Mon Sep 11 03:12:38 GMT 2023","523274","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Mon Sep 11 02:59:25 GMT 2023","Mon Sep 11 03:08:13 GMT 2023","528159","","Audiobook in LYRASIS","","Biblioboard: Check of switching to the next time","","Biblioboard: Check of switching to the next time",""
"broken","Mon Sep 11 07:13:00 GMT 2023","Mon Sep 11 07:21:54 GMT 2023","534160","","Audiobook in LYRASIS","","TOC: Check of table of contents","","TOC: Check of table of contents",""
"broken","Mon Sep 11 03:46:09 GMT 2023","Mon Sep 11 03:54:56 GMT 2023","527387","","Audiobook in LYRASIS","","Check time tracking line","","Check time tracking line",""
"broken","Mon Sep 11 06:37:25 GMT 2023","Mon Sep 11 06:44:54 GMT 2023","448729","","Read PDF in LYRASIS Reads on Android","","Check table of contents in Lyrasis","","Check table of contents in Lyrasis",""
"broken","Mon Sep 11 04:29:38 GMT 2023","Mon Sep 11 04:40:10 GMT 2023","632371","","Read EPUB in Lyrasis","","Font settings: Check of text theme","","Font settings: Check of text theme",""
"broken","Mon Sep 11 05:12:17 GMT 2023","Mon Sep 11 05:22:33 GMT 2023","616228","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Mon Sep 11 03:15:27 GMT 2023","Mon Sep 11 03:25:41 GMT 2023","613969","","Audiobook in LYRASIS","","Check playback speed and sleep timer","","Check playback speed and sleep timer",""
"broken","Mon Sep 11 03:12:38 GMT 2023","Mon Sep 11 03:21:19 GMT 2023","521338","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Mon Sep 11 05:28:02 GMT 2023","Mon Sep 11 05:36:48 GMT 2023","526552","","My books module","","Get a book from Book Detail View and Return from Books in LYRASIS","","Get a book from Book Detail View and Return from Books in LYRASIS",""
"broken","Mon Sep 11 05:11:13 GMT 2023","Mon Sep 11 05:18:39 GMT 2023","446461","","Distributors","","LYRASIS: Biblioboard audiobooks: Check of canceling the downloading from book details view","","LYRASIS: Biblioboard audiobooks: Check of canceling the downloading from book details view",""
"broken","Mon Sep 11 04:11:53 GMT 2023","Mon Sep 11 04:20:52 GMT 2023","539098","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"broken","Mon Sep 11 06:37:04 GMT 2023","Mon Sep 11 06:46:03 GMT 2023","538574","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"broken","Mon Sep 11 02:58:26 GMT 2023","Mon Sep 11 03:08:41 GMT 2023","615441","","Audiobooks from Audible studios in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Mon Sep 11 07:03:13 GMT 2023","Mon Sep 11 07:11:59 GMT 2023","525312","","Read PDF in LYRASIS Reads on Android","","Check of settings screen and page navigation in Lyrasis","","Check of settings screen and page navigation in Lyrasis",""
