"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 03 20:32:34 GMT 2023","Fri Mar 03 20:36:06 GMT 2023","211878","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"broken","Fri Mar 03 17:54:17 GMT 2023","Fri Mar 03 17:56:12 GMT 2023","115209","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"failed","Fri Mar 03 19:25:29 GMT 2023","Fri Mar 03 19:29:19 GMT 2023","230702","","Audiobook in Lyrasis","","Biblioboard: Check playback speed and sleep timer","","Biblioboard: Check playback speed and sleep timer",""
"passed","Fri Mar 03 19:29:19 GMT 2023","Fri Mar 03 19:33:35 GMT 2023","255593","","Audiobook in Lyrasis","","Check time tracking line","","Check time tracking line",""
"broken","Fri Mar 03 18:30:31 GMT 2023","Fri Mar 03 18:33:56 GMT 2023","204512","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"passed","Fri Mar 03 18:42:19 GMT 2023","Fri Mar 03 18:46:27 GMT 2023","247788","","Audiobook in Lyrasis","","Check of line for time remaining","","Check of line for time remaining",""
"failed","Fri Mar 03 19:51:18 GMT 2023","Fri Mar 03 19:56:25 GMT 2023","307149","","Audiobook in Lyrasis","","BiblioBoard: Check of not rewinding forward and back by tapping on time bar","","BiblioBoard: Check of not rewinding forward and back by tapping on time bar",""
"broken","Fri Mar 03 19:05:14 GMT 2023","Fri Mar 03 19:09:04 GMT 2023","230640","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"passed","Fri Mar 03 19:50:35 GMT 2023","Fri Mar 03 19:54:28 GMT 2023","233621","","Read PDF in LYRARIS Reads on IOS","","Check invalid data in searching Lyrasis","","Check invalid data in searching Lyrasis",""
"broken","Fri Mar 03 20:36:06 GMT 2023","Fri Mar 03 20:38:17 GMT 2023","131311","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"passed","Fri Mar 03 18:07:04 GMT 2023","Fri Mar 03 18:11:17 GMT 2023","253004","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"passed","Fri Mar 03 18:13:10 GMT 2023","Fri Mar 03 18:17:25 GMT 2023","254601","","Audiobook in Lyrasis","","Navigate by Audiobook","","Navigate by Audiobook",""
"broken","Fri Mar 03 20:15:06 GMT 2023","Fri Mar 03 20:17:05 GMT 2023","119023","","Reservation of book in LYRASIS","","Hold from Book Detail View and Remove a Reserved Book from Book Detail View","","Hold from Book Detail View and Remove a Reserved Book from Book Detail View",""
"broken","Fri Mar 03 18:14:33 GMT 2023","Fri Mar 03 18:18:04 GMT 2023","210402","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"passed","Fri Mar 03 19:47:16 GMT 2023","Fri Mar 03 19:51:18 GMT 2023","241481","","Audiobook in Lyrasis","","Check of not rewinding forward and back by tapping on time bar","","Check of not rewinding forward and back by tapping on time bar",""
"passed","Fri Mar 03 19:59:44 GMT 2023","Fri Mar 03 20:03:37 GMT 2023","233125","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"broken","Fri Mar 03 20:10:51 GMT 2023","Fri Mar 03 20:15:06 GMT 2023","254814","","Reservation of book in LYRASIS","","Hold from Book Detail View and and Remove a Reserved Book from Holds","","Hold from Book Detail View and and Remove a Reserved Book from Holds",""
"passed","Fri Mar 03 18:46:10 GMT 2023","Fri Mar 03 18:49:24 GMT 2023","194606","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Fri Mar 03 20:07:11 GMT 2023","Fri Mar 03 20:10:51 GMT 2023","220160","","Reservation of book in LYRASIS","","Hold from Subcategory List View and Remove a Reserved Book from Subcategory List View","","Hold from Subcategory List View and Remove a Reserved Book from Subcategory List View",""
"passed","Fri Mar 03 19:04:46 GMT 2023","Fri Mar 03 19:08:01 GMT 2023","194896","","Distributors","","LYRASIS: Biblioboard audiobooks: Check of canceling the downloading from book details view","","LYRASIS: Biblioboard audiobooks: Check of canceling the downloading from book details view",""
"broken","Fri Mar 03 19:41:23 GMT 2023","Fri Mar 03 19:45:46 GMT 2023","263789","","Read PDF in LYRARIS Reads on IOS","","Navigate by Chapters Lyrasis","","Navigate by Chapters Lyrasis",""
"passed","Fri Mar 03 20:09:12 GMT 2023","Fri Mar 03 20:13:52 GMT 2023","280136","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Fri Mar 03 19:32:32 GMT 2023","Fri Mar 03 19:36:03 GMT 2023","210416","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"broken","Fri Mar 03 19:21:08 GMT 2023","Fri Mar 03 19:25:29 GMT 2023","260301","","Audiobook in Lyrasis","","Check playback speed and sleep timer","","Check playback speed and sleep timer",""
"passed","Fri Mar 03 19:33:35 GMT 2023","Fri Mar 03 19:37:58 GMT 2023","263111","","Audiobook in Lyrasis","","Check time tracking line","","Check time tracking line",""
"passed","Fri Mar 03 17:51:15 GMT 2023","Fri Mar 03 17:54:17 GMT 2023","182120","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"broken","Fri Mar 03 18:44:03 GMT 2023","Fri Mar 03 18:46:10 GMT 2023","126988","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Fri Mar 03 19:39:38 GMT 2023","Fri Mar 03 19:40:22 GMT 2023","44155","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"passed","Fri Mar 03 19:01:42 GMT 2023","Fri Mar 03 19:04:46 GMT 2023","184264","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"passed","Fri Mar 03 18:38:33 GMT 2023","Fri Mar 03 18:42:19 GMT 2023","226613","","Audiobook in Lyrasis","","Check of line for time remaining","","Check of line for time remaining",""
"passed","Fri Mar 03 19:25:31 GMT 2023","Fri Mar 03 19:28:58 GMT 2023","207821","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"passed","Fri Mar 03 19:48:27 GMT 2023","Fri Mar 03 19:52:27 GMT 2023","239657","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"broken","Fri Mar 03 19:44:20 GMT 2023","Fri Mar 03 19:47:16 GMT 2023","176213","","Audiobook in Lyrasis","","Check of not rewinding forward and back by tapping on time bar","","Check of not rewinding forward and back by tapping on time bar",""
"broken","Fri Mar 03 18:01:15 GMT 2023","Fri Mar 03 18:05:18 GMT 2023","242421","","Audiobook in Lyrasis","","Biblioboard: Open the audiobook at the last open chapter and check time code","","Biblioboard: Open the audiobook at the last open chapter and check time code",""
"broken","Fri Mar 03 18:33:56 GMT 2023","Fri Mar 03 18:34:39 GMT 2023","43674","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"broken","Fri Mar 03 19:52:27 GMT 2023","Fri Mar 03 19:55:50 GMT 2023","202588","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"passed","Fri Mar 03 19:55:50 GMT 2023","Fri Mar 03 19:59:44 GMT 2023","234379","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"failed","Fri Mar 03 19:28:36 GMT 2023","Fri Mar 03 19:32:42 GMT 2023","246240","","Read PDF in LYRARIS Reads on IOS","","Navigate by Page slider Lyrasis","","Navigate by Page slider Lyrasis",""
"passed","Fri Mar 03 20:18:27 GMT 2023","Fri Mar 03 20:22:24 GMT 2023","236550","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Fri Mar 03 18:09:12 GMT 2023","Fri Mar 03 18:13:10 GMT 2023","237713","","Audiobook in Lyrasis","","Navigate by Audiobook","","Navigate by Audiobook",""
"broken","Fri Mar 03 18:49:44 GMT 2023","Fri Mar 03 18:50:28 GMT 2023","44538","","Read EPUB in Lyrasis","","Navigate by bookmarks","","Navigate by bookmarks",""
"broken","Fri Mar 03 20:39:12 GMT 2023","Fri Mar 03 20:39:56 GMT 2023","43870","","Audiobook in Lyrasis","","Biblioboard: Playback speed: Check of playback speed","","Biblioboard: Playback speed: Check of playback speed",""
"broken","Fri Mar 03 18:04:52 GMT 2023","Fri Mar 03 18:07:04 GMT 2023","131692","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"failed","Fri Mar 03 19:32:42 GMT 2023","Fri Mar 03 19:37:07 GMT 2023","264547","","Read PDF in LYRARIS Reads on IOS","","Bookmarks Functionality Lyrasis","","Bookmarks Functionality Lyrasis",""
"broken","Fri Mar 03 19:08:01 GMT 2023","Fri Mar 03 19:08:41 GMT 2023","39944","","Manage Libraries","","Switch Library Reservations","","Switch Library Reservations",""
"broken","Fri Mar 03 20:03:37 GMT 2023","Fri Mar 03 20:07:11 GMT 2023","214191","","Reservation of book in LYRASIS","","Hold from Subcategory List View and Remove a Reserved Book from Holds","","Hold from Subcategory List View and Remove a Reserved Book from Holds",""
"broken","Fri Mar 03 19:56:25 GMT 2023","Fri Mar 03 19:57:57 GMT 2023","91618","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Fri Mar 03 18:55:27 GMT 2023","Fri Mar 03 18:58:36 GMT 2023","188829","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"passed","Fri Mar 03 19:46:28 GMT 2023","Fri Mar 03 19:50:35 GMT 2023","246577","","Read PDF in LYRARIS Reads on IOS","","Check invalid data in searching Lyrasis","","Check invalid data in searching Lyrasis",""
"passed","Fri Mar 03 17:48:11 GMT 2023","Fri Mar 03 17:53:36 GMT 2023","325077","","Read EPUB in Lyrasis","","Font settings: Check of increasing and reducing the text size","","Font settings: Check of increasing and reducing the text size",""
"failed","Fri Mar 03 18:34:39 GMT 2023","Fri Mar 03 18:39:59 GMT 2023","319851","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"broken","Fri Mar 03 18:26:31 GMT 2023","Fri Mar 03 18:30:31 GMT 2023","240090","","Read EPUB in Lyrasis","","Font settings: Check of text theme","","Font settings: Check of text theme",""
"broken","Fri Mar 03 18:35:04 GMT 2023","Fri Mar 03 18:40:14 GMT 2023","310217","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Fri Mar 03 19:10:35 GMT 2023","Fri Mar 03 19:11:20 GMT 2023","44611","","Read PDF in LYRARIS Reads on IOS","","Navigate by Page Lyrasis","","Navigate by Page Lyrasis",""
"broken","Fri Mar 03 20:38:17 GMT 2023","Fri Mar 03 20:40:29 GMT 2023","131917","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"passed","Fri Mar 03 18:49:24 GMT 2023","Fri Mar 03 18:52:32 GMT 2023","187792","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Fri Mar 03 19:01:51 GMT 2023","Fri Mar 03 19:05:14 GMT 2023","202994","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"broken","Fri Mar 03 19:57:57 GMT 2023","Fri Mar 03 20:00:12 GMT 2023","135421","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Fri Mar 03 20:26:44 GMT 2023","Fri Mar 03 20:28:46 GMT 2023","122726","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"broken","Fri Mar 03 17:56:16 GMT 2023","Fri Mar 03 18:01:15 GMT 2023","299039","","Audiobook in Lyrasis","","Open the audiobook at the last open chapter and check time code","","Open the audiobook at the last open chapter and check time code",""
"passed","Fri Mar 03 17:48:11 GMT 2023","Fri Mar 03 17:51:15 GMT 2023","184392","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"failed","Fri Mar 03 19:20:25 GMT 2023","Fri Mar 03 19:24:23 GMT 2023","238583","","Read PDF in LYRARIS Reads on IOS","","Search Pdf Functionality Lyrasis","","Search Pdf Functionality Lyrasis",""
"passed","Fri Mar 03 18:11:17 GMT 2023","Fri Mar 03 18:15:57 GMT 2023","280009","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Fri Mar 03 18:11:11 GMT 2023","Fri Mar 03 18:14:33 GMT 2023","201833","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"broken","Fri Mar 03 19:17:01 GMT 2023","Fri Mar 03 19:21:08 GMT 2023","247044","","Audiobook in Lyrasis","","Check playback speed and sleep timer","","Check playback speed and sleep timer",""
"passed","Fri Mar 03 20:14:22 GMT 2023","Fri Mar 03 20:16:26 GMT 2023","123832","","Check sections from settings screen","","Setting: Advanced","","Setting: Advanced",""
"passed","Fri Mar 03 17:53:36 GMT 2023","Fri Mar 03 17:59:30 GMT 2023","354656","","Read EPUB in Lyrasis","","Font settings: Check of increasing and reducing the text size","","Font settings: Check of increasing and reducing the text size",""
"broken","Fri Mar 03 18:46:27 GMT 2023","Fri Mar 03 18:49:28 GMT 2023","180361","","Audiobook in Lyrasis","","Check of line for time remaining","","Check of line for time remaining",""
"passed","Fri Mar 03 18:39:59 GMT 2023","Fri Mar 03 18:43:14 GMT 2023","194905","","Read EPUB in Lyrasis","","Navigate by Page","","Navigate by Page",""
"broken","Fri Mar 03 19:43:45 GMT 2023","Fri Mar 03 19:44:31 GMT 2023","45796","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"failed","Fri Mar 03 18:49:28 GMT 2023","Fri Mar 03 18:53:07 GMT 2023","219180","","Audiobook in Lyrasis","","Biblioboard: Check of line for time remaining","","Biblioboard: Check of line for time remaining",""
"broken","Fri Mar 03 19:28:58 GMT 2023","Fri Mar 03 19:32:32 GMT 2023","213846","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"passed","Fri Mar 03 19:37:07 GMT 2023","Fri Mar 03 19:41:23 GMT 2023","255465","","Read PDF in LYRARIS Reads on IOS","","Check table of contents Lyrasis","","Check table of contents Lyrasis",""
"failed","Fri Mar 03 18:58:00 GMT 2023","Fri Mar 03 19:03:11 GMT 2023","310590","","Audiobook in Lyrasis","","Check of switching to the next time","","Check of switching to the next time",""
"passed","Fri Mar 03 19:09:05 GMT 2023","Fri Mar 03 19:13:29 GMT 2023","264318","","My books module","","Get a book from Book Detail View and Return from Books in LYRASIS","","Get a book from Book Detail View and Return from Books in LYRASIS",""
"passed","Fri Mar 03 20:22:24 GMT 2023","Fri Mar 03 20:28:14 GMT 2023","350425","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
