"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 26 16:48:18 GMT 2023","Thu Jan 26 16:50:56 GMT 2023","157886","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"broken","Thu Jan 26 17:58:04 GMT 2023","Thu Jan 26 18:00:45 GMT 2023","160686","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Thu Jan 26 16:40:25 GMT 2023","Thu Jan 26 16:43:05 GMT 2023","159623","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Thu Jan 26 17:05:49 GMT 2023","Thu Jan 26 17:08:53 GMT 2023","184118","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"broken","Thu Jan 26 16:54:09 GMT 2023","Thu Jan 26 16:57:03 GMT 2023","174360","","Read EPUB in Lyrasis","","Navigate by Page","","Navigate by Page",""
"broken","Thu Jan 26 16:42:57 GMT 2023","Thu Jan 26 16:45:48 GMT 2023","170834","","Read EPUB in Lyrasis","","Font settings: Check of text theme","","Font settings: Check of text theme",""
"broken","Thu Jan 26 16:56:37 GMT 2023","Thu Jan 26 16:59:37 GMT 2023","180424","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"broken","Thu Jan 26 17:52:22 GMT 2023","Thu Jan 26 17:55:11 GMT 2023","168577","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Thu Jan 26 18:23:42 GMT 2023","Thu Jan 26 18:26:44 GMT 2023","181082","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Thu Jan 26 16:18:45 GMT 2023","Thu Jan 26 16:21:30 GMT 2023","164773","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"broken","Thu Jan 26 18:09:13 GMT 2023","Thu Jan 26 18:11:58 GMT 2023","165370","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Thu Jan 26 17:05:52 GMT 2023","Thu Jan 26 17:08:42 GMT 2023","169944","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Thu Jan 26 18:11:58 GMT 2023","Thu Jan 26 18:14:52 GMT 2023","173875","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Thu Jan 26 17:16:43 GMT 2023","Thu Jan 26 17:19:57 GMT 2023","193775","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Thu Jan 26 16:50:56 GMT 2023","Thu Jan 26 16:53:43 GMT 2023","167715","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"broken","Thu Jan 26 17:06:00 GMT 2023","Thu Jan 26 17:08:44 GMT 2023","163658","","Audiobook in Lyrasis","","Check of switching to the next time","","Check of switching to the next time",""
"broken","Thu Jan 26 16:42:57 GMT 2023","Thu Jan 26 16:45:37 GMT 2023","159977","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"broken","Thu Jan 26 17:03:13 GMT 2023","Thu Jan 26 17:06:00 GMT 2023","166631","","Audiobook in Lyrasis","","Check of line for time remaining","","Check of line for time remaining",""
"broken","Thu Jan 26 16:45:37 GMT 2023","Thu Jan 26 16:48:18 GMT 2023","161012","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"broken","Thu Jan 26 17:34:40 GMT 2023","Thu Jan 26 17:37:23 GMT 2023","162802","","Audiobook in Lyrasis","","Check time tracking line","","Check time tracking line",""
"broken","Thu Jan 26 16:18:45 GMT 2023","Thu Jan 26 16:22:27 GMT 2023","221730","","Manage Libraries","","Switch Library Reservations","","Switch Library Reservations",""
"broken","Thu Jan 26 16:24:11 GMT 2023","Thu Jan 26 16:26:49 GMT 2023","158577","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"broken","Thu Jan 26 16:21:30 GMT 2023","Thu Jan 26 16:24:10 GMT 2023","160383","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"broken","Thu Jan 26 17:56:45 GMT 2023","Thu Jan 26 17:59:26 GMT 2023","160441","","Read PDF in LYRARIS Reads on IOS","","Check valid data in searching Lyrasis","","Check valid data in searching Lyrasis",""
"broken","Thu Jan 26 17:15:11 GMT 2023","Thu Jan 26 17:17:53 GMT 2023","161315","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"broken","Thu Jan 26 16:39:47 GMT 2023","Thu Jan 26 16:42:57 GMT 2023","189821","","Read EPUB in Lyrasis","","Font settings: Check of text theme","","Font settings: Check of text theme",""
"broken","Thu Jan 26 17:00:31 GMT 2023","Thu Jan 26 17:03:13 GMT 2023","162447","","Audiobook in Lyrasis","","Check of line for time remaining","","Check of line for time remaining",""
"broken","Thu Jan 26 17:06:19 GMT 2023","Thu Jan 26 17:09:26 GMT 2023","186636","","Read EPUB in Lyrasis","","Navigate by bookmarks","","Navigate by bookmarks",""
"broken","Thu Jan 26 17:14:06 GMT 2023","Thu Jan 26 17:16:43 GMT 2023","157381","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Thu Jan 26 17:47:01 GMT 2023","Thu Jan 26 17:49:44 GMT 2023","163385","","Audiobook in Lyrasis","","Check of not rewinding forward and back by tapping on time bar","","Check of not rewinding forward and back by tapping on time bar",""
"broken","Thu Jan 26 17:20:34 GMT 2023","Thu Jan 26 17:23:07 GMT 2023","153252","","Reservation of book in LYRASIS","","Hold from Subcategory List View and Remove a Reserved Book from Holds","","Hold from Subcategory List View and Remove a Reserved Book from Holds",""
"broken","Thu Jan 26 17:08:44 GMT 2023","Thu Jan 26 17:11:37 GMT 2023","173423","","Audiobook in Lyrasis","","Check of switching to the next time","","Check of switching to the next time",""
"failed","Thu Jan 26 17:17:57 GMT 2023","Thu Jan 26 17:22:18 GMT 2023","260779","","Read PDF in LYRARIS Reads on IOS","","Navigate by Thumbnails Lyrasis","","Navigate by Thumbnails Lyrasis",""
