"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 22 21:33:44 GMT 2023","Mon May 22 21:37:40 GMT 2023","235459","","Audiobook in LYRASIS","","Biblioboard: Playback speed: Check of playback speed","","Biblioboard: Playback speed: Check of playback speed",""
"broken","Mon May 22 19:38:28 GMT 2023","Mon May 22 19:43:09 GMT 2023","281424","","Audiobook in LYRASIS","","Navigate by Audiobook","","Navigate by Audiobook",""
"failed","Mon May 22 19:47:32 GMT 2023","Mon May 22 19:52:29 GMT 2023","297623","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Mon May 22 19:29:41 GMT 2023","Mon May 22 19:34:53 GMT 2023","311776","","Audiobooks from Audible studios in LYRASIS","","Check of switching to the next time","","Check of switching to the next time",""
"passed","Mon May 22 21:41:34 GMT 2023","Mon May 22 21:45:01 GMT 2023","206375","","Reservation of book in LYRASIS","","Hold from Subcategory List View and Remove a Reserved Book from Subcategory List View","","Hold from Subcategory List View and Remove a Reserved Book from Subcategory List View",""
"broken","Mon May 22 20:25:21 GMT 2023","Mon May 22 20:29:17 GMT 2023","236383","","Audiobook in LYRASIS","","Check playback speed and sleep timer","","Check playback speed and sleep timer",""
"failed","Mon May 22 21:32:28 GMT 2023","Mon May 22 21:36:01 GMT 2023","213043","","Read PDF in LYRASIS Reads on Android","","Check of settings screen and page navigation in Lyrasis","","Check of settings screen and page navigation in Lyrasis",""
"failed","Mon May 22 20:51:02 GMT 2023","Mon May 22 20:54:43 GMT 2023","220995","","Audiobook in LYRASIS","","Check of not rewinding forward and back by tapping on time bar","","Check of not rewinding forward and back by tapping on time bar",""
"failed","Mon May 22 21:41:19 GMT 2023","Mon May 22 21:45:07 GMT 2023","228434","","Audiobook in LYRASIS","","Biblioboard: Playback speed: Check of playback speed","","Biblioboard: Playback speed: Check of playback speed",""
"broken","Mon May 22 19:55:12 GMT 2023","Mon May 22 19:58:43 GMT 2023","210557","","Audiobook in LYRASIS","","Check end of chapter sleep timer","","Check end of chapter sleep timer",""
"passed","Mon May 22 19:25:22 GMT 2023","Mon May 22 19:28:57 GMT 2023","215037","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"broken","Mon May 22 21:22:06 GMT 2023","Mon May 22 21:25:51 GMT 2023","224755","","Read EPUB in Lyrasis","","Navigate by bookmarks","","Navigate by bookmarks",""
"passed","Mon May 22 19:17:21 GMT 2023","Mon May 22 19:21:11 GMT 2023","229980","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"failed","Mon May 22 21:18:20 GMT 2023","Mon May 22 21:22:06 GMT 2023","226432","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"passed","Mon May 22 21:49:16 GMT 2023","Mon May 22 21:52:47 GMT 2023","210600","","Reservation of book in LYRASIS","","Hold from Book Detail View and Remove a Reserved Book from Book Detail View","","Hold from Book Detail View and Remove a Reserved Book from Book Detail View",""
"broken","Mon May 22 20:06:43 GMT 2023","Mon May 22 20:11:47 GMT 2023","304870","","Audiobooks from Audible studios in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Mon May 22 20:16:46 GMT 2023","Mon May 22 20:22:14 GMT 2023","327590","","Read EPUB in Lyrasis","","Font settings: Check of increasing and reducing the text size","","Font settings: Check of increasing and reducing the text size",""
"broken","Mon May 22 19:18:48 GMT 2023","Mon May 22 19:24:12 GMT 2023","323036","","Audiobooks from Audible studios in LYRASIS","","Navigate by Audiobook","","Navigate by Audiobook",""
"failed","Mon May 22 21:29:51 GMT 2023","Mon May 22 21:33:44 GMT 2023","233887","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Mon May 22 20:40:16 GMT 2023","Mon May 22 20:44:04 GMT 2023","228060","","Distributors","","LYRASIS: Biblioboard audiobooks: Check of canceling the downloading from book details view","","LYRASIS: Biblioboard audiobooks: Check of canceling the downloading from book details view",""
"failed","Mon May 22 21:04:50 GMT 2023","Mon May 22 21:08:55 GMT 2023","244749","","Read EPUB in Lyrasis","","Navigate by Page","","Navigate by Page",""
"failed","Mon May 22 20:39:48 GMT 2023","Mon May 22 20:43:34 GMT 2023","226132","","Audiobook in LYRASIS","","Check time tracking line","","Check time tracking line",""
"broken","Mon May 22 20:01:30 GMT 2023","Mon May 22 20:06:43 GMT 2023","312083","","Audiobooks from Audible studios in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Mon May 22 19:24:12 GMT 2023","Mon May 22 19:29:41 GMT 2023","329625","","Audiobooks from Audible studios in LYRASIS","","Check end of chapter sleep timer","","Check end of chapter sleep timer",""
"passed","Mon May 22 20:00:22 GMT 2023","Mon May 22 20:05:54 GMT 2023","331990","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"failed","Mon May 22 19:52:29 GMT 2023","Mon May 22 19:56:37 GMT 2023","247683","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Mon May 22 21:33:26 GMT 2023","Mon May 22 21:37:26 GMT 2023","240257","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"broken","Mon May 22 19:33:24 GMT 2023","Mon May 22 19:38:28 GMT 2023","303843","","Audiobook in LYRASIS","","Navigate by Audiobook","","Navigate by Audiobook",""
"broken","Mon May 22 20:34:29 GMT 2023","Mon May 22 20:38:02 GMT 2023","213722","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"failed","Mon May 22 21:18:31 GMT 2023","Mon May 22 21:22:11 GMT 2023","220177","","Read PDF in LYRASIS Reads on Android","","Check of book title and back button in Lyrasis","","Check of book title and back button in Lyrasis",""
"passed","Mon May 22 20:09:45 GMT 2023","Mon May 22 20:13:33 GMT 2023","227389","","Distributors","","LYRASIS: Biblioboard audiobooks: Getting and returning books from Book Detail View","","LYRASIS: Biblioboard audiobooks: Getting and returning books from Book Detail View",""
"failed","Mon May 22 21:22:06 GMT 2023","Mon May 22 21:25:54 GMT 2023","227273","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"failed","Mon May 22 21:25:54 GMT 2023","Mon May 22 21:29:50 GMT 2023","236712","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"failed","Mon May 22 21:22:11 GMT 2023","Mon May 22 21:25:41 GMT 2023","209626","","Read PDF in LYRASIS Reads on Android","","Check table of contents in Lyrasis","","Check table of contents in Lyrasis",""
"broken","Mon May 22 20:17:44 GMT 2023","Mon May 22 20:20:46 GMT 2023","182757","","Audiobook in LYRASIS","","Check playback speed and sleep timer","","Check playback speed and sleep timer",""
"failed","Mon May 22 21:29:04 GMT 2023","Mon May 22 21:32:28 GMT 2023","203262","","Read PDF in LYRASIS Reads on Android","","TOC: Contents with text: Check of list of chapters and navigation in Lyrasis","","TOC: Contents with text: Check of list of chapters and navigation in Lyrasis",""
"broken","Mon May 22 19:51:05 GMT 2023","Mon May 22 19:56:28 GMT 2023","322617","","Audiobooks from Audible studios in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"failed","Mon May 22 20:25:16 GMT 2023","Mon May 22 20:28:55 GMT 2023","219048","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"failed","Mon May 22 21:02:39 GMT 2023","Mon May 22 21:06:59 GMT 2023","259927","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Mon May 22 21:29:30 GMT 2023","Mon May 22 21:33:26 GMT 2023","235641","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"broken","Mon May 22 20:30:37 GMT 2023","Mon May 22 20:34:29 GMT 2023","231402","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"failed","Mon May 22 21:37:40 GMT 2023","Mon May 22 21:41:19 GMT 2023","218679","","Audiobook in LYRASIS","","Biblioboard: Playback speed: Check of playback speed","","Biblioboard: Playback speed: Check of playback speed",""
"failed","Mon May 22 21:39:14 GMT 2023","Mon May 22 21:42:41 GMT 2023","207086","","Read PDF in LYRASIS Reads on Android","","Settings: Check of Horizontal scrolling in Lyrasis","","Settings: Check of Horizontal scrolling in Lyrasis",""
"failed","Mon May 22 21:02:19 GMT 2023","Mon May 22 21:05:59 GMT 2023","220741","","My books module","","Check buttons under the book title in LYRASIS","","Check buttons under the book title in LYRASIS",""
"passed","Mon May 22 19:39:47 GMT 2023","Mon May 22 19:43:28 GMT 2023","221021","","Distributors","","LYRASIS: Getting and returning books from Book Detail View","","LYRASIS: Getting and returning books from Book Detail View",""
"broken","Mon May 22 19:45:44 GMT 2023","Mon May 22 19:51:05 GMT 2023","321002","","Audiobooks from Audible studios in LYRASIS","","Check of not rewinding forward and back by tapping on time bar","","Check of not rewinding forward and back by tapping on time bar",""
"failed","Mon May 22 21:42:41 GMT 2023","Mon May 22 21:45:55 GMT 2023","194396","","Read PDF in LYRASIS Reads on Android","","Settings: Check of Wrapped scrolling in Lyrasis","","Settings: Check of Wrapped scrolling in Lyrasis",""
"failed","Mon May 22 19:29:25 GMT 2023","Mon May 22 19:33:24 GMT 2023","239499","","Audiobook in LYRASIS","","Navigate by Audiobook","","Navigate by Audiobook",""
"broken","Mon May 22 21:48:50 GMT 2023","Mon May 22 21:52:47 GMT 2023","236896","","Audiobook in LYRASIS","","Bibliotheca: Playback speed: Check of playback speed","","Bibliotheca: Playback speed: Check of playback speed",""
"broken","Mon May 22 19:13:21 GMT 2023","Mon May 22 19:17:21 GMT 2023","240190","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"broken","Mon May 22 20:26:10 GMT 2023","Mon May 22 20:30:37 GMT 2023","266771","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"broken","Mon May 22 20:49:06 GMT 2023","Mon May 22 20:52:47 GMT 2023","221782","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"broken","Mon May 22 19:56:28 GMT 2023","Mon May 22 20:01:30 GMT 2023","302671","","Audiobooks from Audible studios in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"failed","Mon May 22 20:51:00 GMT 2023","Mon May 22 20:54:55 GMT 2023","235351","","My books module","","Get a book from Book Detail View and Return from Books in LYRASIS","","Get a book from Book Detail View and Return from Books in LYRASIS",""
"failed","Mon May 22 20:17:46 GMT 2023","Mon May 22 20:21:35 GMT 2023","229054","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"failed","Mon May 22 20:13:33 GMT 2023","Mon May 22 20:17:46 GMT 2023","253576","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"failed","Mon May 22 20:47:14 GMT 2023","Mon May 22 20:51:02 GMT 2023","228211","","Audiobook in LYRASIS","","Check of not rewinding forward and back by tapping on time bar","","Check of not rewinding forward and back by tapping on time bar",""
