"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 18 10:34:04 GMT 2023","Wed Jan 18 10:35:00 GMT 2023","56269","","Read EPUB in Lyrasis","","Navigate by Page","","Navigate by Page",""
"broken","Wed Jan 18 10:28:12 GMT 2023","Wed Jan 18 10:29:12 GMT 2023","60253","","Audiobook in Lyrasis","","Navigate by Audiobook","","Navigate by Audiobook",""
"broken","Wed Jan 18 10:46:14 GMT 2023","Wed Jan 18 10:47:14 GMT 2023","59095","","Read PDF in LYRARIS Reads on IOS","","Navigate by Page slider Lyrasis","","Navigate by Page slider Lyrasis",""
"broken","Wed Jan 18 10:27:09 GMT 2023","Wed Jan 18 10:28:08 GMT 2023","58693","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"broken","Wed Jan 18 10:32:06 GMT 2023","Wed Jan 18 10:33:08 GMT 2023","62602","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"broken","Wed Jan 18 10:58:15 GMT 2023","Wed Jan 18 11:00:04 GMT 2023","109549","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Jan 18 10:36:21 GMT 2023","Wed Jan 18 10:37:16 GMT 2023","54343","","Audiobook in Lyrasis","","Check of line for time remaining","","Check of line for time remaining",""
"broken","Wed Jan 18 10:40:15 GMT 2023","Wed Jan 18 10:41:10 GMT 2023","55139","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"broken","Wed Jan 18 10:46:46 GMT 2023","Wed Jan 18 10:47:42 GMT 2023","56390","","Reservation of book in LYRASIS","","Hold from Book Detail View and Cancel remove from holds tab (IOS)","","Hold from Book Detail View and Cancel remove from holds tab (IOS)",""
"broken","Wed Jan 18 10:50:23 GMT 2023","Wed Jan 18 10:51:21 GMT 2023","57955","","Read PDF in LYRARIS Reads on IOS","","Check invalid data in searching Lyrasis","","Check invalid data in searching Lyrasis",""
"broken","Wed Jan 18 10:26:08 GMT 2023","Wed Jan 18 10:27:09 GMT 2023","61605","","Read EPUB in Lyrasis","","Font settings: Check of font style","","Font settings: Check of font style",""
"broken","Wed Jan 18 10:50:19 GMT 2023","Wed Jan 18 10:51:21 GMT 2023","61492","","Audiobook in Lyrasis","","Check of not rewinding forward and back by tapping on time bar","","Check of not rewinding forward and back by tapping on time bar",""
"broken","Wed Jan 18 10:34:54 GMT 2023","Wed Jan 18 10:36:21 GMT 2023","87009","","Audiobook in Lyrasis","","Check of line for time remaining","","Check of line for time remaining",""
"broken","Wed Jan 18 10:39:23 GMT 2023","Wed Jan 18 10:40:26 GMT 2023","62710","","Audiobook in Lyrasis","","Check of switching to the next time","","Check of switching to the next time",""
"broken","Wed Jan 18 10:47:14 GMT 2023","Wed Jan 18 10:48:09 GMT 2023","55714","","Read PDF in LYRARIS Reads on IOS","","Bookmarks Functionality Lyrasis","","Bookmarks Functionality Lyrasis",""
"broken","Wed Jan 18 10:51:40 GMT 2023","Wed Jan 18 10:52:38 GMT 2023","57662","","Reservation of book in LYRASIS","","Alert: Check of Cancel button after Remove button tapping","","Alert: Check of Cancel button after Remove button tapping",""
"broken","Wed Jan 18 11:09:50 GMT 2023","Wed Jan 18 11:10:51 GMT 2023","60965","","Audiobook in Lyrasis","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Jan 18 10:37:05 GMT 2023","Wed Jan 18 10:38:03 GMT 2023","58050","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"broken","Wed Jan 18 10:27:07 GMT 2023","Wed Jan 18 10:28:02 GMT 2023","54829","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
