"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 09 06:23:18 GMT 2023","Wed Aug 09 06:26:46 GMT 2023","207869","","Read PDF in LYRARIS Reads on IOS","","Bookmarks Functionality Lyrasis","","Bookmarks Functionality Lyrasis",""
"passed","Wed Aug 09 03:55:25 GMT 2023","Wed Aug 09 04:02:02 GMT 2023","396672","","Distributors","","LYRASIS: Check of canceling the downloading from book details view","","LYRASIS: Check of canceling the downloading from book details view",""
"failed","Wed Aug 09 04:38:45 GMT 2023","Wed Aug 09 04:46:05 GMT 2023","439733","","Read EPUB in Lyrasis","","Open book to last page read","","Open book to last page read",""
"failed","Wed Aug 09 05:44:52 GMT 2023","Wed Aug 09 05:50:30 GMT 2023","338064","","My books module","","Alert: Check of Cancel button after Return button tapping","","Alert: Check of Cancel button after Return button tapping",""
"broken","Wed Aug 09 03:47:40 GMT 2023","Wed Aug 09 03:53:00 GMT 2023","320457","","Read EPUB in Lyrasis","","Font settings: Check of increasing and reducing the text size","","Font settings: Check of increasing and reducing the text size",""
"broken","Wed Aug 09 04:57:23 GMT 2023","Wed Aug 09 05:05:29 GMT 2023","485854","","Audiobook in LYRASIS","","Playback speed: Check of playback speed","","Playback speed: Check of playback speed",""
"broken","Wed Aug 09 06:30:13 GMT 2023","Wed Aug 09 06:33:49 GMT 2023","216588","","Read PDF in LYRARIS Reads on IOS","","Navigate by Chapters Lyrasis","","Navigate by Chapters Lyrasis",""
"failed","Wed Aug 09 05:18:44 GMT 2023","Wed Aug 09 05:25:38 GMT 2023","414261","","Read EPUB in Lyrasis","","Navigate by bookmarks","","Navigate by bookmarks",""
"passed","Wed Aug 09 05:46:36 GMT 2023","Wed Aug 09 05:53:41 GMT 2023","425225","","Read EPUB in Lyrasis","","Delete bookmarks","","Delete bookmarks",""
"passed","Wed Aug 09 02:37:33 GMT 2023","Wed Aug 09 02:44:20 GMT 2023","406969","","Distributors","","LYRASIS: Reserving from Book Detail View","","LYRASIS: Reserving from Book Detail View",""
"passed","Wed Aug 09 06:35:43 GMT 2023","Wed Aug 09 06:42:11 GMT 2023","388284","","Reservation of book in LYRASIS","","Hold from Book Detail View and and Remove a Reserved Book from Holds","","Hold from Book Detail View and and Remove a Reserved Book from Holds",""
