"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 01 02:37:39 GMT 2023","Sat Apr 01 02:40:22 GMT 2023","163358","","Book detail view screen","","Check fields in Information section in LYRASIS","","Check fields in Information section in LYRASIS",""
"failed","Sat Apr 01 03:06:35 GMT 2023","Sat Apr 01 03:09:16 GMT 2023","160923","","Read EPUB in Palace Bookshelf","","Font settings: Check of text theme","","Font settings: Check of text theme",""
"failed","Sat Apr 01 02:23:20 GMT 2023","Sat Apr 01 02:27:50 GMT 2023","269905","","Audiobooks in A1QA library","","Audiobooks: Check of not rewinding forward and back by tapping on time bar","","Audiobooks: Check of not rewinding forward and back by tapping on time bar",""
"passed","Sat Apr 01 03:50:41 GMT 2023","Sat Apr 01 03:51:44 GMT 2023","63042","","Search libraries and books","","Enter invalid data in book name in Palace","","Enter invalid data in book name in Palace",""
"passed","Sat Apr 01 03:29:29 GMT 2023","Sat Apr 01 03:30:12 GMT 2023","43133","","Search libraries and books","","Check that library name contains one or more entered latin letters","","Check that library name contains one or more entered latin letters",""
"broken","Sat Apr 01 03:18:36 GMT 2023","Sat Apr 01 03:20:28 GMT 2023","112179","","My books module","","Check of sorting in Palace","","Check of sorting in Palace",""
"passed","Sat Apr 01 02:16:28 GMT 2023","Sat Apr 01 02:18:23 GMT 2023","114314","","Catalog Navigation","","Check of books sorting in LYRASIS","","Check of books sorting in LYRASIS",""
"passed","Sat Apr 01 02:34:23 GMT 2023","Sat Apr 01 02:40:43 GMT 2023","380537","","Read EPUB from Overdrive in A1QA","","Epub: Font settings: Check of increasing and reducing the text size","","Epub: Font settings: Check of increasing and reducing the text size",""
"passed","Sat Apr 01 03:17:07 GMT 2023","Sat Apr 01 03:19:09 GMT 2023","121710","","Book detail view screen","","Check of a book title and author in Palace","","Check of a book title and author in Palace",""
"broken","Sat Apr 01 02:08:50 GMT 2023","Sat Apr 01 02:13:51 GMT 2023","301447","","Audiobooks in A1QA library","","Audiobooks: Check of switching to the next chapter","","Audiobooks: Check of switching to the next chapter",""
"passed","Sat Apr 01 04:19:09 GMT 2023","Sat Apr 01 04:20:30 GMT 2023","80260","","Search libraries and books","","Enter invalid data in book name in LYRASIS","","Enter invalid data in book name in LYRASIS",""
"passed","Sat Apr 01 03:34:34 GMT 2023","Sat Apr 01 03:35:39 GMT 2023","64626","","Search libraries and books","","Enter invalid data","","Enter invalid data",""
